Age,Height,Weight,Sex,Year,Season,City,Sport,Medal,AOS,AOE
29,185,87,M,1952,Summer,Seoul,Canoeing,Thanks,1,1
25,177,65,M,1908,Summer,Sydney,Athletics,Thanks,1,6
27,169,65,M,1904,Summer,Roma,Curling,Thanks,1,1
23,190,88,M,1924,Summer,Calgary,Football,Thanks,1,1
26,195,97,M,1984,Summer,London,Cycling,Bronze,1,1
33,170,64,M,1952,Summer,Grenoble,Curling,Thanks,1,1
21,169,71,M,1896,Summer,Montreal,Football,Thanks,1,1
28,184,85,M,1906,Summer,Seoul,Canoeing,Thanks,2,1
24,160,42,F,1972,Summer,Barcelona,Swimming,Thanks,1,1
23,183,80,M,1992,Summer,Sarajevo,Archery,Thanks,1,1
25,176,80,M,2012,Summer,Cortina d'Ampezzo,Snowboarding,Thanks,1,1
27,190,92,M,1948,Summer,Berlin,Wrestling,Thanks,1,1
27,185,86,M,1948,Summer,London,Wrestling,Thanks,1,2
24,162,63,F,2002,Summer,Barcelona,Fencing,Thanks,1,1
31,186,84,M,2016,Summer,Barcelona,Short Track Speed Skating,Thanks,2,1
19,177,72,M,1980,Summer,Nagano,Football,Thanks,1,1
18,175,69,F,1976,Summer,Seoul,Athletics,Thanks,1,1
25,177,72,M,1972,Summer,Rio de Janeiro,Lacrosse,Thanks,1,7
21,166,59,F,2008,Summer,Roma,Athletics,Thanks,1,1
25,183,78,M,1924,Summer,Roma,Nordic Combined,Thanks,1,2
20,185,76,M,1906,Summer,Athina,Athletics,Thanks,1,1
32,180,87,M,1912,Summer,Roma,Shooting,Thanks,1,1
26,169,66,F,1964,Summer,Amsterdam,Fencing,Thanks,1,1
23,165,51,F,1936,Summer,Sapporo,Athletics,Thanks,1,2
25,177,74,M,2016,Summer,Paris,Athletics,Thanks,1,2
25,179,83,M,1936,Summer,Calgary,Alpine Skiing,Thanks,1,3
32,183,95,M,1924,Summer,Roma,Water Polo,Thanks,1,4
22,173,63,F,2000,Summer,Sydney,Athletics,Thanks,1,1
28,183,78,M,1968,Summer,Mexico City,Cross Country Skiing,Thanks,1,6
23,195,92,M,2016,Summer,Sochi,Golf,Thanks,1,1
27,175,70,M,2004,Summer,Montreal,Bobsleigh,Thanks,1,1
28,177,67,M,1896,Summer,Athina,Athletics,Thanks,1,2
30,178,75,M,1936,Summer,Rio de Janeiro,Boxing,Thanks,1,9
23,172,61,M,2000,Winter,Innsbruck,Gymnastics,Thanks,1,3
25,163,52,M,1992,Summer,Athina,Gymnastics,Thanks,1,9
24,175,75,M,1920,Summer,Squaw Valley,Curling,Thanks,1,1
21,176,63,M,1988,Summer,Seoul,Football,Thanks,1,7
31,188,93,M,1924,Summer,Atlanta,Handball,Thanks,1,2
28,181,79,M,1980,Summer,London,Boxing,Thanks,1,3
28,184,85,M,1980,Summer,Stockholm,Basketball,Thanks,1,3
23,182,81,M,2004,Summer,Seoul,Judo,Thanks,1,1
31,171,71,M,1948,Summer,Barcelona,Shooting,Thanks,1,1
29,187,85,M,2004,Summer,Beijing,Water Polo,Thanks,1,1
27,168,65,M,1904,Winter,Beijing,Judo,Thanks,1,1
25,166,61,M,1994,Summer,Torino,Hockey,Thanks,1,1
26,182,80,M,1920,Winter,Calgary,Taekwondo,Thanks,1,1
32,174,60,M,1908,Summer,Lake Placid,Swimming,Thanks,1,2
27,181,83,M,1964,Summer,Berlin,Fencing,Thanks,1,1
26,183,66,F,2000,Summer,London,Cycling,Thanks,1,1
19,189,77,M,1964,Summer,Barcelona,Triathlon,Thanks,1,2
30,169,55,M,1956,Summer,Vancouver,Snowboarding,Thanks,1,1
29,183,88,M,1972,Winter,Stockholm,Rowing,Thanks,1,1
29,186,90,M,1924,Summer,Roma,Golf,Thanks,1,1
26,185,80,M,1952,Summer,Montreal,Tennis,Thanks,1,1
22,181,75,M,2012,Summer,St. Louis,Nordic Combined,Thanks,1,1
31,169,56,M,1936,Summer,St. Louis,Shooting,Thanks,1,1
32,168,60,M,2016,Summer,Rio de Janeiro,Basketball,Thanks,1,1
29,180,84,M,1960,Summer,Garmisch-Partenkirchen,Shooting,Thanks,1,1
22,176,69,M,1996,Summer,Rio de Janeiro,Athletics,Thanks,1,1
33,171,67,M,1952,Summer,Barcelona,Athletics,Thanks,1,1
25,163,58,F,2004,Summer,Los Angeles,Water Polo,Thanks,1,1
24,171,62,M,1948,Summer,Rio de Janeiro,Trampolining,Thanks,1,1
31,189,92,M,1908,Summer,Nagano,Ice Hockey,Thanks,1,1
26,192,96,M,1928,Summer,St. Louis,Athletics,Thanks,1,1
34,195,103,M,1992,Summer,Innsbruck,Canoeing,Thanks,1,1
20,157,62,F,2006,Summer,Moskva,Tennis,Thanks,1,2
36,169,64,M,1988,Summer,Mexico City,Rowing,Thanks,1,1
13,165,56,M,1988,Summer,Los Angeles,Athletics,Thanks,1,1
23,154,55,M,1988,Summer,Torino,Badminton,Silver,1,1
30,193,99,M,2004,Summer,Berlin,Sailing,Thanks,1,1
30,180,82,M,2000,Summer,Tokyo,Lacrosse,Thanks,1,1
19,181,72,M,1992,Summer,Berlin,Sailing,Thanks,1,2
22,167,68,F,1980,Summer,Helsinki,Ice Hockey,Thanks,1,1
32,174,75,M,1932,Summer,Sydney,Skeleton,Thanks,1,1
27,178,74,F,1900,Summer,London,Rugby Sevens,Thanks,1,1
31,176,69,M,2010,Summer,London,Water Polo,Thanks,1,3
31,169,68,F,1912,Summer,Munich,Baseball,Thanks,1,3
25,179,73,M,1968,Summer,Oslo,Gymnastics,Thanks,1,1
25,181,73,F,1912,Summer,Seoul,Water Polo,Thanks,1,1
21,156,46,F,1960,Summer,Mexico City,Hockey,Thanks,1,1
18,187,80,M,1968,Summer,Lillehammer,Diving,Thanks,1,1
23,165,55,F,2010,Summer,Seoul,Cross Country Skiing,Thanks,1,2
26,172,56,F,1906,Summer,Athina,Archery,Thanks,1,4
27,169,63,M,2004,Summer,Athina,Alpine Skiing,Thanks,1,1
40,172,60,M,1920,Summer,Lake Placid,Equestrianism,Thanks,1,1
22,176,76,M,2008,Summer,Beijing,Polo,Thanks,1,1
28,183,77,M,1932,Summer,Seoul,Triathlon,Thanks,1,1
34,162,67,F,2004,Summer,Athina,Alpine Skiing,Thanks,1,4
26,168,66,M,1972,Summer,Salt Lake City,Ice Hockey,Thanks,1,1
34,174,77,M,2004,Summer,Los Angeles,Golf,Thanks,1,1
26,169,63,M,2012,Summer,Squaw Valley,Ice Hockey,Thanks,1,1
25,189,84,M,2012,Summer,Torino,Gymnastics,Thanks,1,1
39,167,63,M,2012,Summer,Nagano,Equestrianism,Thanks,1,1
16,175,71,F,2000,Summer,Sydney,Athletics,Thanks,1,1
28,174,73,M,1948,Summer,Stockholm,Athletics,Thanks,1,1
25,182,68,M,1976,Summer,Munich,Swimming,Thanks,1,1
23,181,73,M,1980,Summer,Moskva,Tennis,Thanks,1,1
28,188,87,M,2016,Winter,Rio de Janeiro,Judo,Thanks,1,1
21,188,82,M,2000,Summer,Seoul,Wrestling,Thanks,1,1
21,176,65,M,2000,Summer,Moskva,Archery,Thanks,1,2
27,166,68,F,2008,Summer,Beijing,Canoeing,Thanks,1,2
34,180,79,M,2008,Summer,Garmisch-Partenkirchen,Sailing,Thanks,1,1
19,184,80,M,2006,Summer,London,Athletics,Thanks,1,1
22,188,94,M,1968,Summer,Mexico City,Athletics,Thanks,1,1
26,170,66,M,2000,Summer,Berlin,Shooting,Thanks,1,1
29,175,77,M,2014,Summer,Moskva,Snowboarding,Thanks,1,2
25,165,66,M,1972,Summer,Atlanta,Ice Hockey,Thanks,1,1
22,188,77,M,2000,Summer,Oslo,Wrestling,Thanks,1,1
23,174,70,M,2006,Summer,Grenoble,Athletics,Thanks,1,1
17,171,70,M,2006,Summer,Moskva,Athletics,Thanks,1,1
24,173,81,M,2000,Summer,London,Weightlifting,Thanks,1,1
12,185,86,M,2014,Summer,Los Angeles,Cross Country Skiing,Thanks,1,1
25,174,73,M,2010,Summer,Sydney,Football,Thanks,1,1
32,170,68,M,2016,Summer,Vancouver,Ice Hockey,Thanks,1,1
23,165,75,F,1932,Summer,Sydney,Fencing,Thanks,1,1
12,185,81,M,2016,Summer,Sydney,Short Track Speed Skating,Thanks,1,1
30,182,83,M,1972,Summer,Vancouver,Wrestling,Thanks,1,1
31,152,57,F,1972,Summer,Munich,Short Track Speed Skating,Silver,1,1
31,184,83,M,1964,Summer,Barcelona,Golf,Thanks,1,2
35,188,85,M,1956,Winter,Los Angeles,Wrestling,Thanks,1,1
34,174,80,M,1932,Summer,Munich,Football,Thanks,1,2
31,171,67,M,1992,Winter,Barcelona,Ice Hockey,Thanks,1,1
19,165,69,F,2016,Summer,Atlanta,Water Polo,Thanks,1,1
29,181,77,M,1984,Summer,Berlin,Archery,Thanks,1,2
17,184,78,M,1984,Summer,Montreal,Swimming,Thanks,1,1
35,174,72,M,1956,Summer,Nagano,Canoeing,Thanks,1,2
30,167,67,F,1964,Summer,Sydney,Wrestling,Thanks,1,1
27,175,69,M,2016,Summer,Beijing,Wrestling,Thanks,1,1
23,172,48,M,1948,Summer,Paris,Rowing,Thanks,1,2
27,169,78,M,1912,Summer,Antwerpen,Lacrosse,Thanks,1,1
32,189,79,M,1908,Summer,Barcelona,Triathlon,Thanks,1,2
31,175,75,M,1988,Summer,London,Sailing,Thanks,1,1
29,173,65,M,1988,Summer,London,Football,Thanks,1,3
20,174,78,M,1912,Winter,Barcelona,Athletics,Thanks,1,1
40,173,66,M,2012,Summer,Stockholm,Athletics,Thanks,1,1
23,182,72,M,1976,Summer,Rio de Janeiro,Cycling,Thanks,1,1
31,182,72,M,2004,Summer,Nagano,Modern Pentathlon,Thanks,1,1
26,178,72,M,1952,Summer,Montreal,Swimming,Thanks,1,1
30,178,76,M,1948,Summer,London,Football,Thanks,1,2
25,172,71,M,1964,Summer,Beijing,Synchronized Swimming,Thanks,1,2
28,173,67,M,1980,Summer,Mexico City,Rowing,Thanks,1,1
29,180,78,M,2004,Summer,Rio de Janeiro,Football,Thanks,1,2
23,173,70,F,1988,Summer,Nagano,Handball,Thanks,1,2
22,182,88,M,1980,Summer,Moskva,Athletics,Thanks,1,1
27,172,60,F,2016,Summer,Sydney,Athletics,Thanks,1,1
22,169,57,F,2016,Summer,Sydney,Cross Country Skiing,Thanks,1,2
27,195,90,M,1984,Summer,Oslo,Football,Thanks,1,1
23,178,72,M,2000,Summer,Beijing,Synchronized Swimming,Thanks,1,2
31,184,84,M,1984,Summer,Atlanta,Cross Country Skiing,Thanks,1,1
26,165,67,M,1912,Summer,Atlanta,Rhythmic Gymnastics,Thanks,1,1
48,189,86,M,2000,Summer,Mexico City,Gymnastics,Thanks,1,1
31,179,68,M,2006,Summer,Seoul,Equestrianism,Thanks,1,1
15,190,84,M,2006,Summer,Los Angeles,Art Competitions,Thanks,1,1
27,189,87,M,2016,Summer,Rio de Janeiro,Athletics,Thanks,1,1
14,172,74,M,2010,Summer,Lillehammer,Figure Skating,Thanks,1,1
34,167,59,M,1908,Summer,Helsinki,Golf,Thanks,1,3
40,178,68,M,2006,Summer,Oslo,Equestrianism,Thanks,1,2
27,177,64,M,2006,Summer,Melbourne,Luge,Thanks,1,1
25,181,77,M,1924,Summer,Antwerpen,Art Competitions,Thanks,1,2
28,181,71,M,2006,Summer,Los Angeles,Athletics,Thanks,1,1
19,184,78,M,1896,Summer,Tokyo,Canoeing,Thanks,1,1
35,183,77,M,2000,Summer,Beijing,Athletics,Thanks,1,1
29,171,57,F,2014,Summer,Barcelona,Volleyball,Thanks,1,2
19,176,77,M,1984,Summer,Los Angeles,Tennis,Thanks,1,1
26,167,64,M,2016,Summer,Lake Placid,Bobsleigh,Thanks,1,2
27,182,77,M,1996,Summer,Berlin,Boxing,Thanks,1,1
20,174,69,M,1992,Summer,Athina,Biathlon,Thanks,1,1
28,190,85,M,2012,Summer,Mexico City,Wrestling,Thanks,1,1
23,176,69,M,1968,Summer,Helsinki,Shooting,Thanks,1,2
24,172,72,M,1956,Summer,Munich,Athletics,Thanks,1,1
24,180,86,M,2004,Summer,Moskva,Judo,Thanks,1,1
26,170,71,F,1972,Summer,Antwerpen,Athletics,Thanks,1,1
29,174,62,M,1988,Summer,Oslo,Sailing,Thanks,1,1
25,183,83,M,1984,Summer,Berlin,Swimming,Thanks,1,1
24,197,102,M,2008,Summer,Berlin,Diving,Thanks,1,1
30,168,69,F,1968,Summer,Athina,Golf,Thanks,1,1
28,177,74,M,1948,Summer,Albertville,Curling,Thanks,1,1
50,181,86,F,2002,Summer,Amsterdam,Golf,Thanks,1,1
27,174,85,F,2008,Summer,Seoul,Gymnastics,Thanks,1,1
22,177,75,M,1996,Summer,Roma,Athletics,Thanks,1,1
34,163,56,F,1964,Summer,London,Hockey,Thanks,1,1
22,178,75,M,1952,Summer,Rio de Janeiro,Weightlifting,Thanks,1,1
28,174,76,M,2012,Summer,Montreal,Archery,Thanks,1,1
30,166,70,F,2002,Summer,Rio de Janeiro,Football,Thanks,1,1
25,165,50,F,1924,Summer,Roma,Athletics,Thanks,1,2
14,175,69,M,1996,Summer,Sydney,Boxing,Thanks,1,1
26,177,70,M,2008,Summer,Munich,Boxing,Thanks,1,2
31,183,87,M,1924,Summer,Rio de Janeiro,Boxing,Thanks,1,1
27,183,88,M,1924,Summer,Atlanta,Athletics,Thanks,1,1
36,176,82,M,1968,Summer,Vancouver,Water Polo,Thanks,1,1
22,165,59,F,2012,Summer,Sydney,Rowing,Thanks,1,1
29,184,87,M,2012,Summer,Barcelona,Modern Pentathlon,Thanks,1,1
18,184,76,M,1996,Summer,Sydney,Athletics,Thanks,1,1
21,164,67,F,2004,Summer,Seoul,Ice Hockey,Thanks,1,1
16,181,78,M,2004,Summer,London,Softball,Thanks,1,1
16,169,59,F,2012,Summer,Rio de Janeiro,Ice Hockey,Thanks,1,1
21,180,71,M,1952,Summer,St. Louis,Fencing,Thanks,1,7
25,165,67,M,2012,Summer,London,Diving,Thanks,1,1
25,169,53,M,2012,Summer,Munich,Tennis,Thanks,1,2
22,177,73,M,1924,Summer,Grenoble,Lacrosse,Thanks,1,1
24,188,77,M,1964,Summer,London,Athletics,Thanks,1,1
22,170,57,M,1984,Summer,Barcelona,Athletics,Thanks,1,2
24,172,63,M,1948,Summer,Atlanta,Athletics,Thanks,1,2
19,176,72,M,1972,Summer,Antwerpen,Athletics,Thanks,1,1
25,175,64,M,1972,Summer,Mexico City,Athletics,Thanks,1,1
20,183,85,M,1984,Summer,Moskva,Ice Hockey,Thanks,1,1
25,170,57,M,1984,Summer,Munich,Athletics,Thanks,1,3
24,194,96,M,1920,Summer,Atlanta,Athletics,Thanks,1,1
31,178,70,M,1896,Summer,London,Athletics,Thanks,1,2
15,182,68,M,1980,Summer,London,Football,Thanks,1,1
15,177,66,M,1984,Summer,Atlanta,Athletics,Thanks,1,1
23,181,85,M,1980,Summer,Chamonix,Ice Hockey,Thanks,1,1
27,174,61,M,1988,Summer,Munich,Boxing,Thanks,1,1
19,183,77,M,1996,Summer,Sydney,Archery,Thanks,1,1
17,166,63,M,1948,Summer,Atlanta,Athletics,Thanks,1,1
26,167,61,F,1972,Summer,Seoul,Athletics,Thanks,1,1
24,166,59,F,1968,Summer,Mexico City,Football,Thanks,1,1
26,175,72,M,1896,Summer,Torino,Archery,Thanks,1,1
27,181,67,M,1980,Summer,Paris,Taekwondo,Thanks,1,1
18,172,60,M,1948,Summer,Salt Lake City,Athletics,Thanks,1,1
25,168,62,M,1992,Summer,Chamonix,Polo,Thanks,1,1
28,184,79,M,1972,Summer,Torino,Football,Thanks,1,1
16,181,74,M,1896,Summer,Torino,Ice Hockey,Thanks,1,1
33,176,67,M,2012,Summer,London,Sailing,Thanks,1,1
25,189,79,M,1960,Summer,Los Angeles,Athletics,Thanks,1,1
22,185,77,M,1996,Summer,Moskva,Football,Thanks,1,1
22,159,42,F,1900,Summer,Lillehammer,Athletics,Thanks,1,1
25,167,55,M,1998,Summer,London,Diving,Thanks,1,1
21,172,64,M,1988,Summer,Los Angeles,Boxing,Thanks,1,1
15,173,56,M,1908,Summer,Mexico City,Canoeing,Thanks,1,2
21,183,79,M,1948,Summer,Mexico City,Swimming,Thanks,1,1
33,174,65,M,1968,Summer,Mexico City,Athletics,Thanks,1,1
26,187,70,M,1988,Summer,Tokyo,Athletics,Thanks,1,1
27,170,70,M,1952,Winter,Barcelona,Diving,Thanks,1,2
28,176,75,M,1992,Summer,Beijing,Shooting,Thanks,1,2
35,185,86,M,1996,Summer,Berlin,Canoeing,Thanks,1,1
23,178,88,F,1952,Summer,Beijing,Basketball,Thanks,1,1
35,177,77,M,1924,Summer,Stockholm,Athletics,Thanks,1,1
38,175,76,M,1928,Summer,London,Hockey,Thanks,1,1
24,181,71,M,1988,Summer,Seoul,Football,Thanks,1,2
33,170,67,M,1968,Summer,Mexico City,Fencing,Thanks,1,1
34,187,96,M,2004,Summer,Sapporo,Sailing,Thanks,1,1
25,174,61,M,1992,Summer,Moskva,Fencing,Thanks,1,2
20,184,95,M,2008,Winter,Beijing,Shooting,Thanks,1,1
28,169,50,M,1924,Summer,Barcelona,Athletics,Thanks,1,2
26,194,98,M,1968,Summer,Moskva,Boxing,Thanks,1,1
19,172,57,M,1968,Summer,Tokyo,Athletics,Thanks,1,1
47,179,83,F,1976,Summer,Berlin,Basketball,Thanks,1,2
26,177,77,M,1952,Summer,Montreal,Athletics,Thanks,1,1
25,182,90,M,1988,Summer,Lake Placid,Football,Thanks,1,1
28,176,84,M,1948,Summer,London,Shooting,Thanks,1,1
15,177,66,F,1994,Winter,Seoul,Ice Hockey,Thanks,1,3
27,179,79,M,1998,Summer,St. Louis,Water Polo,Thanks,1,1
31,179,80,M,1908,Summer,Athina,Sailing,Thanks,1,1
27,181,71,M,1984,Summer,St. Louis,Ice Hockey,Thanks,1,1
29,194,106,M,1992,Summer,Sydney,Swimming,Thanks,1,1
32,178,70,F,1976,Winter,Sochi,Speed Skating,Thanks,1,1
22,182,69,M,2000,Summer,Tokyo,Athletics,Thanks,1,1
32,174,78,M,1908,Summer,Atlanta,Canoeing,Thanks,1,1
24,175,67,M,2004,Summer,Sankt Moritz,Athletics,Thanks,1,1
20,181,78,M,1984,Summer,Barcelona,Rowing,Thanks,1,1
30,172,60,F,1952,Summer,Sochi,Speed Skating,Thanks,1,2
19,182,75,M,1948,Summer,Tokyo,Fencing,Thanks,1,2
22,178,72,F,2014,Summer,Rio de Janeiro,Athletics,Thanks,1,1
31,184,84,M,1972,Summer,Tokyo,Wrestling,Thanks,1,1
31,188,86,M,2002,Summer,Rio de Janeiro,Basketball,Thanks,1,1
33,180,87,M,2004,Summer,Atlanta,Shooting,Thanks,1,1
34,187,90,M,1972,Summer,Munich,Basketball,Thanks,1,1
22,159,53,F,2004,Summer,Athina,Tennis,Thanks,1,2
25,179,82,M,2014,Summer,Roma,Boxing,Thanks,1,1
27,160,48,F,2008,Summer,Athina,Gymnastics,Thanks,1,2
32,181,83,M,1956,Summer,St. Louis,Hockey,Thanks,1,1
19,172,75,M,2002,Summer,Lake Placid,Gymnastics,Thanks,1,1
27,182,91,M,2008,Summer,Beijing,Football,Thanks,1,1
23,176,70,M,1968,Winter,Antwerpen,Judo,Thanks,1,1
27,173,69,M,1998,Summer,Helsinki,Hockey,Thanks,1,1
36,176,70,M,2012,Summer,London,Athletics,Thanks,1,1
18,183,86,M,2002,Winter,Atlanta,Badminton,Thanks,1,1
19,173,80,M,1948,Summer,Athina,Ice Hockey,Thanks,1,1
28,183,80,M,2012,Summer,Amsterdam,Weightlifting,Thanks,1,2
13,159,50,M,2012,Summer,Atlanta,Athletics,Thanks,1,1
10,182,83,M,1948,Summer,Grenoble,Swimming,Thanks,1,1
18,185,82,M,1984,Summer,Sydney,Alpine Skiing,Thanks,1,1
26,171,51,F,1936,Summer,Beijing,Fencing,Thanks,1,2
29,186,93,M,2010,Summer,Beijing,Shooting,Thanks,1,1
26,180,82,F,1984,Winter,Atlanta,Ice Hockey,Thanks,1,1
26,185,81,M,2000,Summer,Sydney,Luge,Thanks,1,1
16,171,61,M,1984,Summer,Rio de Janeiro,Tennis,Thanks,1,1
24,173,61,M,1972,Summer,London,Athletics,Thanks,1,9
30,169,67,M,1908,Summer,Sochi,Wrestling,Thanks,1,1
16,171,70,M,1972,Summer,Tokyo,Boxing,Thanks,1,1
34,185,86,M,1948,Summer,Munich,Rowing,Thanks,1,1
14,171,55,M,2012,Summer,London,Rowing,Thanks,1,1
22,183,80,M,1972,Summer,London,Figure Skating,Thanks,1,1
26,180,87,M,2002,Summer,Athina,Swimming,Thanks,1,1
15,179,64,M,1972,Summer,Sankt Moritz,Boxing,Thanks,1,1
32,184,85,M,1972,Summer,London,Ice Hockey,Thanks,1,1
20,173,62,F,1984,Summer,Seoul,Athletics,Thanks,1,1
16,166,64,F,1960,Winter,Rio de Janeiro,Canoeing,Thanks,1,1
23,188,86,M,1984,Summer,Tokyo,Swimming,Thanks,1,1
26,184,70,M,1996,Summer,Helsinki,Rhythmic Gymnastics,Thanks,1,3
30,166,71,F,1988,Summer,London,Polo,Thanks,1,1
31,165,61,M,2016,Summer,Rio de Janeiro,Wrestling,Thanks,1,5
29,169,64,M,2012,Summer,London,Cycling,Thanks,1,1
16,176,68,M,2012,Summer,Antwerpen,Luge,Thanks,1,1
39,167,57,F,2016,Summer,Berlin,Athletics,Thanks,1,2
27,180,90,M,2004,Summer,Berlin,Swimming,Thanks,1,1
19,178,75,M,1972,Summer,Barcelona,Freestyle Skiing,Thanks,1,1
22,181,80,M,2010,Winter,Seoul,Shooting,Thanks,1,5
29,180,94,M,1980,Summer,Beijing,Nordic Combined,Thanks,1,1
34,172,74,F,2016,Summer,Sydney,Basketball,Thanks,1,1
27,176,74,M,1972,Summer,Barcelona,Rowing,Thanks,1,1
28,188,84,M,2016,Summer,Sydney,Lacrosse,Thanks,1,1
26,171,71,F,2008,Summer,Seoul,Diving,Thanks,1,1
23,159,43,F,1994,Summer,Berlin,Athletics,Thanks,1,1
22,182,61,M,1980,Summer,London,Athletics,Thanks,1,1
17,183,88,M,2004,Summer,Seoul,Softball,Thanks,1,1
20,187,89,M,1980,Winter,Mexico City,Canoeing,Thanks,1,1
25,195,99,M,1972,Summer,Seoul,Ice Hockey,Thanks,1,1
31,165,53,F,2000,Summer,London,Athletics,Thanks,1,1
20,187,80,M,1976,Summer,Atlanta,Weightlifting,Thanks,1,2
22,185,75,M,1960,Summer,Calgary,Water Polo,Bronze,1,1
24,173,68,M,1948,Summer,London,Sailing,Thanks,1,1
25,181,72,M,2016,Summer,Rio de Janeiro,Cross Country Skiing,Thanks,1,1
29,173,70,F,2012,Summer,Rio de Janeiro,Athletics,Thanks,1,1
26,188,86,M,1896,Summer,Calgary,Athletics,Thanks,1,1
25,174,69,M,1980,Summer,Los Angeles,Baseball,Bronze,1,1
23,163,54,M,2012,Summer,Munich,Judo,Thanks,1,1
25,170,61,M,1984,Winter,Los Angeles,Shooting,Thanks,1,2
16,177,76,M,1912,Summer,Seoul,Athletics,Thanks,1,1
28,169,72,F,2008,Summer,Athina,Athletics,Thanks,1,1
