age,workclass,education,edu-num,marital-status,occupation,relationship,race,sex,income
-1, Private, HS-grad,10, Never-married, Prof-specialty, Own-child, White, Female, <=50K
55, Self-emp-not-inc, Masters,11, Separated, Prof-specialty, Not-in-family, White, Female, >50K
63, ?, Masters,1, Married-civ-spouse, Exec-managerial, Wife, White, Female, >50K
33, Private, Bachelors,13, Never-married, Craft-repair, Husband, White, Male, >50K
75, Without-pay, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, Other, Male, <=50K
27, Private, 1st-4th,13, Married-civ-spouse, Protective-serv, Husband, White, Male, >50K
38, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Not-in-family, Black, Female, <=50K
37, Local-gov, Some-college,9, Never-married, Craft-repair, Husband, White, Male, <=50K
52, Private, 11th,9, Separated, Craft-repair, Husband, White, Male, <=50K
61, Private, Masters,5, Widowed, Prof-specialty, Not-in-family, White, Female, >50K
61, Private, Some-college,14, Married-civ-spouse, Craft-repair, Husband, White, Male, >50K
26, Local-gov, HS-grad,5, Married-AF-spouse, ?, Not-in-family, Black, Female, <=50K
52, Private, 1st-4th,11, Married-AF-spouse, Craft-repair, Husband, White, Male, >50K
41, Self-emp-not-inc, HS-grad,3, Married-civ-spouse, Craft-repair, Husband, Black, Male, >50K
43, Private, Assoc-voc,6, Never-married, Exec-managerial, Own-child, White, Female, >50K
40, Private, 1st-4th,16, Married-civ-spouse, Craft-repair, Wife, White, Female, <=50K
37, Private, Bachelors,6, Divorced, Other-service, Own-child, Black, Male, <=50K
52, Private, Some-college,10, Married-civ-spouse, ?, Husband, White, Male, >50K
31, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male, <=50K
47, Private, 7th-8th,11, Divorced, Prof-specialty, Husband, White, Male, >50K
24, Private, HS-grad,9, Never-married, Sales, Not-in-family, Black, Female, <=50K
26, Private, HS-grad,9, Married-civ-spouse, Tech-support, Not-in-family, White, Male, <=50K
45, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Exec-managerial, Unmarried, White, Female, <=50K
63, Private, HS-grad,10, Married-civ-spouse, Exec-managerial, Unmarried, White, Male, >50K
41, Private, Assoc-acdm,13, Never-married, Sales, Other-relative, White, Male, >50K
59, Private, Assoc-acdm,9, Divorced, Other-service, Other-relative, White, Female, <=50K
35, State-gov, HS-grad,9, Married-AF-spouse, ?, Own-child, White, Male, <=50K
26, Private, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male, <=50K
24, Private, HS-grad,9, Never-married, ?, Husband, White, Male, <=50K
35, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Exec-managerial, Own-child, White, Male, <=50K
37, Private, HS-grad,14, Never-married, Adm-clerical, Husband, White, Female, <=50K
26, Private, 11th,13, Married-civ-spouse, Transport-moving, Husband, White, Male, <=50K
42, Private, Bachelors,10, Married-civ-spouse, Machine-op-inspct, Other-relative, White, Male, >50K
35, Private, Assoc-voc,10, Married-civ-spouse, Prof-specialty, Husband, White, Male, <=50K
32, Private, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male, <=50K
63, Local-gov, Assoc-acdm,1, Widowed, Adm-clerical, Wife, White, Female, >50K
27, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, <=50K
34, Private, HS-grad,9, Never-married, Priv-house-serv, Husband, White, Male, <=50K
52, Private, 11th,1, Married-civ-spouse, Adm-clerical, Husband, White, Male, <=50K
45, Private, Some-college,10, Never-married, ?, Not-in-family, White, Female, <=50K
61, Local-gov, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White, Male, <=50K
36, Private, HS-grad,9, Divorced, Priv-house-serv, Husband, White, Male, <=50K
48, Private, Assoc-acdm,14, Widowed, Sales, Husband, Amer-Indian-Eskimo, Female, <=50K
40, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male, >50K
43, Private, HS-grad,9, Married-AF-spouse, Tech-support, Not-in-family, Black, Female, <=50K
51, Private, Some-college,10, Married-civ-spouse, ?, Not-in-family, White, Male, <=50K
44, Local-gov, Some-college,10, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male, >50K
32, Local-gov, HS-grad,9, Married-civ-spouse, Armed-Forces, Husband, White, Male, <=50K
37, Private, HS-grad,10, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male, <=50K
45, Private, Some-college,10, Never-married, Tech-support, Not-in-family, White, Male, <=50K
24, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male, <=50K
41, Self-emp-not-inc, HS-grad,9, Never-married, Adm-clerical, Other-relative, White, Female, >50K
31, Self-emp-not-inc, HS-grad,9, Never-married, Craft-repair, Husband, White, Male, <=50K
51, Self-emp-inc, Bachelors,13, Married-civ-spouse, Transport-moving, Not-in-family, White, Male, >50K
71, Local-gov, HS-grad,9, Divorced, Adm-clerical, Husband, White, Female, >50K
39, Private, Some-college,10, Married-civ-spouse, Craft-repair, Not-in-family, White, Male, <=50K
32, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Transport-moving, Own-child, Black, Male, <=50K
28, Private, Assoc-acdm,3, Never-married, Sales, Own-child, White, Female, <=50K
39, Private, HS-grad,14, Married-civ-spouse, Adm-clerical, Husband, Black, Male, <=50K
14, Private, HS-grad,9, Married-civ-spouse, Prof-specialty, Own-child, Black, Male, <=50K
38, Private, Bachelors,10, Divorced, Prof-specialty, Not-in-family, White, Female, <=50K
11, Private, Some-college,10, Married-civ-spouse, Other-service, Own-child, White, Male, <=50K
29, Private, Some-college,14, Never-married, ?, Own-child, White, Female, <=50K
44, Private, HS-grad,9, Married-civ-spouse, Priv-house-serv, Husband, White, Female, <=50K
37, ?, Some-college,9, Never-married, Handlers-cleaners, Own-child, White, Female, <=50K
31, Private, Some-college,9, Never-married, Prof-specialty, Own-child, White, Male, <=50K
35, ?, Some-college,10, Married-civ-spouse, ?, Husband, White, Male, <=50K
27, Private, HS-grad,9, Divorced, Exec-managerial, Unmarried, Black, Female, <=50K
43, Private, HS-grad,7, Married-civ-spouse, Exec-managerial, Husband, White, Male, >50K
38, Private, 5th-6th,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Female, >50K
38, Private, HS-grad,9, Divorced, Sales, Unmarried, White, Female, <=50K
34, Private, Assoc-acdm,10, Never-married, Adm-clerical, Own-child, White, Female, <=50K
-5, Private, 11th,9, Never-married, Other-service, Own-child, Black, Female, <=50K
33, Private, Some-college,10, Never-married, ?, Own-child, White, Male, <=50K
46, Private, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female, <=50K
47, Private, Bachelors,13, Married-civ-spouse, Sales, Not-in-family, White, Female, >50K
35, Private, Assoc-acdm,9, Married-civ-spouse, Sales, Husband, White, Male, <=50K
40, Private, Some-college,10, Married-spouse-absent, Adm-clerical, Not-in-family, White, Male, <=50K
67, ?, Bachelors,13, Married-civ-spouse, ?, Husband, White, Male, <=50K
78, ?, Bachelors,13, Married-civ-spouse, ?, Husband, White, Male, >50K
24, Private, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male, <=50K
27, Private, Bachelors,13, Never-married, Other-service, Unmarried, White, Female, <=50K
28, Private, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Female, <=50K
74, Private, Some-college,5, Married-civ-spouse, Other-service, Husband, White, Male, <=50K
55, Self-emp-not-inc, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male, <=50K
50, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male, <=50K
29, Private, Some-college,10, Married-civ-spouse, Other-service, Not-in-family, White, Male, <=50K
32, Private, Bachelors,13, Married-civ-spouse, Other-service, Husband, White, Male, <=50K
74, Private, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White, Male, >50K
48, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male, >50K
8, Private, Some-college,12, Never-married, Prof-specialty, Own-child, White, Male, <=50K
13, Private, HS-grad,9, Never-married, Protective-serv, Not-in-family, White, Male, <=50K
56, Private, HS-grad,9, Separated, Exec-managerial, Unmarried, Black, Male, >50K
24, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, <=50K
32, Private, Assoc-acdm,10, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female, <=50K
28, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male, >50K
64, ?, Some-college,10, Divorced, Craft-repair, Unmarried, White, Male, >50K
30, Private, 10th,9, Never-married, Adm-clerical, Husband, White, Male, <=50K
49, Private, Bachelors,13, Married-civ-spouse, Craft-repair, Not-in-family, White, Female, >50K
34, Private, HS-grad,9, Never-married, Prof-specialty, Own-child, White, Male, <=50K
49, Private, Assoc-acdm,10, Married-civ-spouse, Exec-managerial, Husband, White, Male, >50K
53, ?, Some-college,10, Married-civ-spouse, ?, Husband, Amer-Indian-Eskimo, Male, <=50K
30, Private, 7th-8th,9, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male, <=50K
26, Private, HS-grad,9, Widowed, Adm-clerical, Unmarried, White, Female, <=50K
35, Private, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female, <=50K
57, Private, 10th,10, Married-civ-spouse, Craft-repair, Husband, White, Male, >50K
67, Private, Some-college,10, Married-civ-spouse, ?, Husband, White, Male, >50K
58, Private, HS-grad,4, Married-civ-spouse, Adm-clerical, Unmarried, White, Female, >50K
18, Private, HS-grad,9, Never-married, ?, Own-child, White, Female, <=50K
31, Private, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female, <=50K
44, Private, HS-grad,16, Married-civ-spouse, Prof-specialty, Husband, White, Female, >50K
35, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, <=50K
47, Private, HS-grad,9, Divorced, Craft-repair, Unmarried, White, Female, <=50K
38, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female, >50K
39, Private, HS-grad,9, Never-married, Sales, Not-in-family, White, Female, <=50K
43, Self-emp-not-inc, Bachelors,9, Married-civ-spouse, Prof-specialty, Husband, White, Female, <=50K
33, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male, >50K
42, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male, >50K
28, Private, Bachelors,9, Married-civ-spouse, Armed-Forces, Husband, White, Male, <=50K
9, Federal-gov, Some-college,14, Never-married, Prof-specialty, Own-child, Other, Female, <=50K
35, Private, HS-grad,14, Married-civ-spouse, Prof-specialty, Wife, White, Female, <=50K
47, Self-emp-not-inc, Some-college,9, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female, <=50K
29, Private, Some-college,10, Never-married, Other-service, Own-child, White, Male, <=50K
46, Private, Bachelors,13, Married-civ-spouse, Armed-Forces, Husband, White, Female, >50K
27, Private, Bachelors,9, Never-married, Tech-support, Not-in-family, White, Male, <=50K
40, Private, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male, <=50K
46, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male, >50K
30, Private, Bachelors,9, Never-married, Craft-repair, Not-in-family, White, Male, <=50K
41, Private, Bachelors,14, Married-civ-spouse, Prof-specialty, Husband, White, Female, <=50K
35, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Female, >50K
37, Private, HS-grad,9, Never-married, Other-service, Not-in-family, Black, Female, <=50K
45, ?, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male, <=50K
49, Private, Bachelors,9, Divorced, Exec-managerial, Husband, White, Female, <=50K
23, Private, Some-college,12, Never-married, Other-service, Own-child, White, Male, <=50K
52, Private, Bachelors,13, Never-married, Craft-repair, Not-in-family, White, Male, <=50K
49, Private, Masters,9, Married-civ-spouse, Adm-clerical, Husband, White, Female, >50K
36, Local-gov, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male, <=50K
33, Private, Some-college,10, Never-married, Transport-moving, Not-in-family, White, Female, <=50K
56, Private, Assoc-voc,8, Married-civ-spouse, Adm-clerical, Husband, White, Male, <=50K
28, Private, HS-grad,9, Separated, Adm-clerical, Unmarried, Black, Female, <=50K
69, Private, Masters,9, Married-civ-spouse, Adm-clerical, Husband, White, Female, >50K
40, Private, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Male, <=50K
36, Private, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Female, <=50K
37, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male, <=50K
19, Private, HS-grad,9, Never-married, Sales, Not-in-family, White, Male, <=50K
46, Private, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Female, <=50K
35, ?, Some-college,13, Never-married, Prof-specialty, Not-in-family, White, Male, <=50K
46, ?, Some-college,10, Married-civ-spouse, Transport-moving, Own-child, White, Female, <=50K
49, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male, >50K
57, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male, <=50K
39, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male, >50K
32, Private, Some-college,10, Never-married, Sales, Own-child, White, Male, <=50K
45, Private, Bachelors,14, Married-civ-spouse, Sales, Husband, White, Male, >50K
39, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male, <=50K
57, Private, HS-grad,15, Widowed, Adm-clerical, Unmarried, White, Female, >50K
44, ?, Some-college,10, Married-civ-spouse, ?, Husband, White, Male, <=50K
33, Private, 7th-8th,13, Never-married, Machine-op-inspct, Other-relative, White, Male, <=50K
56, ?, Some-college,10, Divorced, Prof-specialty, Unmarried, Other, Female, <=50K
15, Private, Some-college,13, Never-married, Prof-specialty, Not-in-family, White, Male, <=50K
37, Private, Bachelors,13, Never-married, Sales, Not-in-family, White, Female, <=50K
54, Private, HS-grad,9, Married-civ-spouse, Sales, Not-in-family, White, Male, <=50K
27, Private, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female, >50K
38, Private, Assoc-voc,9, Divorced, Prof-specialty, Unmarried, White, Female, <=50K
24, Private, Some-college,10, Never-married, Prof-specialty, Unmarried, White, Female, <=50K
33, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male, <=50K
41, Private, Assoc-acdm,10, Married-civ-spouse, Tech-support, Not-in-family, White, Male, >50K
38, ?, HS-grad,9, Never-married, Other-service, Unmarried, Black, Female, <=50K
53, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male, <=50K
31, Private, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male, <=50K
44, State-gov, Assoc-voc,11, Never-married, Prof-specialty, Unmarried, White, Female, <=50K
32, Private, Some-college,10, Never-married, Sales, Husband, White, Male, <=50K
20, Private, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Male, <=50K
19, ?, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female, <=50K
27, Private, Some-college,13, Married-civ-spouse, Prof-specialty, Husband, White, Male, <=50K
28, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Not-in-family, White, Female, <=50K
24, Private, Some-college,9, Married-civ-spouse, Prof-specialty, Husband, White, Male, >50K
38, Private, Some-college,10, Never-married, Craft-repair, Own-child, White, Male, <=50K
14, Private, Some-college,10, Never-married, Transport-moving, Own-child, White, Male, <=50K
44, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male, <=50K
33, Private, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White, Female, <=50K
14, Private, Bachelors,9, Separated, Exec-managerial, Not-in-family, White, Male, <=50K
43, Self-emp-inc, Bachelors,13, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female, >50K
63, State-gov, HS-grad,9, Married-civ-spouse, Other-service, Wife, Black, Female, <=50K
28, State-gov, HS-grad,13, Never-married, Prof-specialty, Not-in-family, Black, Male, <=50K
22, Private, Bachelors,13, Separated, Transport-moving, Wife, White, Female, <=50K
21, Private, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Female, >50K
30, Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female, >50K
32, Private, Masters,9, Married-civ-spouse, Craft-repair, Not-in-family, White, Male, <=50K
40, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male, >50K
58, Self-emp-inc, HS-grad,9, Married-civ-spouse, ?, Wife, White, Female, >50K
15, Private, Bachelors,13, Never-married, Exec-managerial, Husband, White, Male, <=50K
29, Private, Some-college,13, Married-civ-spouse, Other-service, Husband, White, Male, >50K
26, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male, >50K
36, ?, Bachelors,13, Married-civ-spouse, ?, Not-in-family, White, Male, <=50K
24, Private, Some-college,10, Never-married, Other-service, Own-child, White, Female, <=50K
34, ?, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male, <=50K
32, Private, HS-grad,9, Never-married, Other-service, Husband, White, Female, <=50K
36, Private, HS-grad,9, Never-married, Other-service, Own-child, Black, Male, <=50K
34, Private, Some-college,10, Never-married, Exec-managerial, Not-in-family, Black, Male, <=50K
13, Private, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female, <=50K
46, ?, HS-grad,8, Married-civ-spouse, Prof-specialty, Husband, White, Male, <=50K
28, Private, Some-college,9, Married-civ-spouse, Transport-moving, Husband, White, Male, <=50K
42, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male, >50K
44, Local-gov, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male, >50K
28, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Female, <=50K
29, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male, <=50K
20, Private, Bachelors,13, Never-married, Exec-managerial, Own-child, White, Male, <=50K
53, Self-emp-inc, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Female, >50K
51, Self-emp-inc, HS-grad,9, Married-civ-spouse, ?, Husband, White, Female, <=50K
60, State-gov, HS-grad,10, Married-civ-spouse, Transport-moving, Husband, Black, Male, <=50K
38, Private, Assoc-acdm,10, Married-civ-spouse, Sales, Husband, White, Male, >50K
14, Private, Assoc-acdm,10, Never-married, Adm-clerical, Unmarried, White, Female, <=50K
22, Private, 11th,10, Never-married, Adm-clerical, Unmarried, White, Female, <=50K
27, Private, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male, <=50K
29, Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male, <=50K
29, Private, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female, >50K
46, Local-gov, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Female, <=50K
48, Private, HS-grad,10, Married-civ-spouse, Transport-moving, Husband, White, Male, >50K
35, Private, Bachelors,10, Married-civ-spouse, Transport-moving, Husband, White, Male, <=50K
60, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black, Male, <=50K
58, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male, >50K
28, Private, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female, >50K
25, Private, 7th-8th,9, Never-married, Prof-specialty, Not-in-family, White, Male, <=50K
36, Private, HS-grad,9, Never-married, Craft-repair, Husband, White, Male, <=50K
59, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Female, >50K
62, ?, HS-grad,9, Married-civ-spouse, ?, Wife, White, Female, <=50K
61, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male, >50K
59, Self-emp-inc, HS-grad,4, Married-civ-spouse, Prof-specialty, Husband, White, Female, >50K
46, Private, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male, <=50K
32, Private, HS-grad,9, Divorced, Craft-repair, Husband, White, Male, <=50K
51, Private, Some-college,10, Widowed, Prof-specialty, Own-child, White, Female, <=50K
72, Private, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White, Male, >50K
26, Private, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male, <=50K
51, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Female, <=50K
45, Local-gov, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female, <=50K
26, Private, Bachelors,13, Never-married, Craft-repair, Not-in-family, White, Female, <=50K
16, Private, Bachelors,9, Never-married, Tech-support, Unmarried, White, Female, <=50K
56, Self-emp-inc, Some-college,10, Married-civ-spouse, Sales, Husband, White, Female, >50K
23, Local-gov, Bachelors,9, Never-married, Sales, Own-child, White, Male, <=50K
38, Private, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male, <=50K
43, Private, Bachelors,13, Never-married, Sales, Not-in-family, White, Female, <=50K
71, Private, Masters,14, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male, <=50K
30, Private, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female, <=50K
43, Private, Some-college,10, Married-civ-spouse, ?, Husband, White, Female, <=50K
42, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male, <=50K
40, Private, Some-college,16, Never-married, Craft-repair, Not-in-family, White, Male, <=50K
37, ?, Some-college,10, Married-civ-spouse, ?, Not-in-family, White, Female, <=50K
34, Private, 12th,6, Married-civ-spouse, ?, Husband, White, Male, >50K
39, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male, >50K
57, Private, Assoc-acdm,6, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male, >50K
51, ?, 11th,6, Married-civ-spouse, ?, Husband, White, Male, >50K
29, Private, Assoc-voc,11, Never-married, Machine-op-inspct, Not-in-family, White, Female, <=50K
52, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male, <=50K
21, Private, Some-college,10, Never-married, Other-service, Wife, White, Female, <=50K
31, Private, 11th,7, Never-married, Sales, Husband, White, Male, <=50K
50, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, <=50K
16, Private, Some-college,10, Never-married, Craft-repair, Own-child, White, Male, <=50K
17, Self-emp-not-inc, Assoc-voc,9, Never-married, Prof-specialty, Not-in-family, White, Female, <=50K
33, Self-emp-not-inc, Masters,9, Separated, Prof-specialty, Unmarried, White, Male, <=50K
31, Private, Bachelors,10, Married-civ-spouse, Craft-repair, Husband, White, Male, >50K
