Age,Height,Weight,Sex,Year,Season,City,Sport,Medal,AOS,AOE
28,173,64,M,1948,Summer,Paris,Athletics,Thanks,1,2
20,176,69,M,2004,Summer,Lake Placid,Polo,Thanks,1,6
28,175,76,M,2008,Summer,Grenoble,Weightlifting,Thanks,1,1
29,176,75,M,1924,Summer,Innsbruck,Modern Pentathlon,Thanks,1,1
26,179,76,M,2012,Summer,Oslo,Weightlifting,Thanks,1,2
27,178,76,M,2012,Summer,London,Athletics,Thanks,1,1
25,182,88,M,1960,Summer,Oslo,Trampolining,Thanks,1,1
28,179,84,M,2006,Summer,Salt Lake City,Judo,Thanks,1,1
19,174,60,M,1980,Summer,Mexico City,Softball,Thanks,1,1
27,178,76,M,1928,Summer,Paris,Shooting,Thanks,1,3
29,175,65,F,1920,Summer,Seoul,Polo,Thanks,1,3
29,175,69,M,1996,Summer,Helsinki,Shooting,Thanks,1,2
31,189,80,M,1960,Summer,Beijing,Luge,Thanks,1,1
26,183,89,M,2016,Summer,Salt Lake City,Taekwondo,Thanks,1,1
23,184,91,M,1988,Summer,Athina,Rugby,Thanks,1,1
27,187,93,M,1996,Summer,Grenoble,Weightlifting,Thanks,1,1
20,183,87,M,1972,Summer,Mexico City,Rugby,Thanks,1,1
22,165,60,M,1932,Summer,Athina,Fencing,Thanks,1,2
17,175,68,M,1920,Summer,Montreal,Ski Jumping,Thanks,1,1
31,174,78,M,1920,Summer,Seoul,Equestrianism,Thanks,1,2
26,178,83,M,2016,Summer,Los Angeles,Rugby,Thanks,1,1
26,173,78,F,2012,Summer,Seoul,Ski Jumping,Thanks,1,2
26,192,95,M,2002,Summer,Nagano,Ice Hockey,Thanks,1,1
25,181,84,M,2008,Summer,Barcelona,Wrestling,Thanks,1,1
23,188,88,M,1928,Summer,Nagano,Sailing,Thanks,1,1
23,178,61,F,1928,Summer,Amsterdam,Gymnastics,Thanks,1,1
20,184,83,M,2002,Summer,Roma,Art Competitions,Gold,1,1
24,184,94,M,1912,Summer,London,Sailing,Gold,1,1
26,188,90,M,2016,Summer,Nagano,Trampolining,Thanks,1,1
21,167,54,F,1994,Winter,Innsbruck,Gymnastics,Gold,1,1
29,169,67,M,2012,Winter,London,Equestrianism,Thanks,1,2
22,179,70,M,1988,Summer,Athina,Shooting,Thanks,1,1
18,174,65,M,1980,Winter,Torino,Short Track Speed Skating,Silver,1,1
28,201,108,M,1928,Summer,Squaw Valley,Canoeing,Thanks,1,1
17,173,52,M,2004,Summer,Beijing,Athletics,Thanks,1,2
24,162,48,F,1996,Winter,Sydney,Gymnastics,Thanks,1,2
31,168,64,M,1976,Summer,Rio de Janeiro,Judo,Thanks,1,1
26,182,86,M,2012,Summer,Beijing,Athletics,Thanks,1,2
20,163,54,M,1976,Summer,Athina,Archery,Thanks,1,1
24,160,44,F,2008,Summer,Nagano,Athletics,Thanks,1,2
25,151,33,M,1976,Summer,Sydney,Athletics,Thanks,1,1
20,146,34,M,2012,Summer,Oslo,Athletics,Thanks,1,1
31,192,95,M,1928,Summer,Garmisch-Partenkirchen,Shooting,Thanks,1,1
26,186,90,M,1980,Summer,Antwerpen,Judo,Thanks,1,1
19,168,55,M,2004,Summer,Athina,Athletics,Thanks,1,1
25,156,44,F,1984,Summer,Amsterdam,Table Tennis,Thanks,1,1
27,177,72,M,2012,Summer,Innsbruck,Synchronized Swimming,Thanks,1,1
32,168,68,F,1992,Summer,Los Angeles,Athletics,Thanks,1,1
23,152,41,F,2012,Summer,Salt Lake City,Athletics,Thanks,1,1
31,160,48,F,1956,Summer,Sydney,Volleyball,Thanks,1,1
26,202,100,M,2004,Summer,Los Angeles,Fencing,Thanks,1,1
27,145,41,F,1904,Summer,Salt Lake City,Football,Thanks,1,1
31,179,75,M,1928,Summer,Antwerpen,Judo,Thanks,1,1
22,180,81,M,1996,Summer,Atlanta,Bobsleigh,Thanks,1,1
31,179,77,M,1904,Summer,London,Boxing,Thanks,1,2
24,175,69,M,1984,Summer,Torino,Sailing,Thanks,1,1
18,169,73,M,2016,Summer,Rio de Janeiro,Wrestling,Thanks,1,1
28,164,59,F,1996,Summer,London,Basketball,Thanks,1,1
20,185,78,M,1952,Summer,Moskva,Boxing,Thanks,1,1
29,169,76,F,1984,Summer,Tokyo,Table Tennis,Thanks,1,1
27,187,87,M,1952,Summer,Nagano,Skeleton,Thanks,1,1
25,167,71,F,2008,Summer,Torino,Wrestling,Thanks,1,1
32,178,68,F,1972,Summer,Munich,Rhythmic Gymnastics,Thanks,1,1
28,173,76,M,1996,Summer,Rio de Janeiro,Triathlon,Thanks,1,1
20,179,75,M,1964,Summer,Rio de Janeiro,Art Competitions,Thanks,1,1
27,168,64,F,1936,Summer,Athina,Rhythmic Gymnastics,Thanks,1,1
30,174,69,F,2012,Summer,Munich,Athletics,Thanks,1,1
16,170,65,M,2016,Summer,Moskva,Table Tennis,Thanks,1,1
27,163,63,F,2012,Winter,Rio de Janeiro,Swimming,Thanks,1,7
23,191,91,M,1996,Summer,Sydney,Lacrosse,Thanks,1,1
15,178,81,M,2000,Summer,Garmisch-Partenkirchen,Table Tennis,Thanks,1,1
25,162,57,F,1912,Summer,Tokyo,Taekwondo,Thanks,1,1
23,182,73,F,1912,Summer,Sochi,Snowboarding,Thanks,1,9
31,186,87,M,1972,Summer,Seoul,Volleyball,Thanks,1,2
31,179,70,F,1976,Summer,Tokyo,Rowing,Thanks,1,1
30,162,66,F,1996,Summer,Tokyo,Modern Pentathlon,Thanks,1,1
34,179,70,M,2002,Summer,Torino,Athletics,Thanks,1,2
32,172,73,M,2012,Summer,Mexico City,Water Polo,Thanks,1,2
30,181,75,M,2000,Summer,Sydney,Table Tennis,Thanks,1,1
27,174,75,M,2002,Summer,Atlanta,Judo,Thanks,2,2
28,183,79,M,1980,Summer,Roma,Triathlon,Thanks,1,1
8,178,71,M,2000,Summer,Sydney,Boxing,Thanks,1,1
22,186,76,M,1994,Summer,Beijing,Athletics,Thanks,1,1
14,184,72,M,2000,Summer,Athina,Wrestling,Thanks,1,1
29,170,70,M,1952,Summer,Sochi,Cross Country Skiing,Thanks,1,1
23,164,65,M,1988,Summer,Lake Placid,Snowboarding,Bronze,1,2
33,169,69,M,2012,Summer,Rio de Janeiro,Cross Country Skiing,Bronze,1,2
8,170,60,M,1960,Summer,Paris,Athletics,Thanks,1,1
33,168,67,M,2016,Summer,Sochi,Nordic Combined,Thanks,1,8
41,163,67,M,1968,Summer,Rio de Janeiro,Diving,Thanks,1,1
21,178,65,M,1936,Summer,Oslo,Equestrianism,Thanks,1,1
32,176,77,M,1996,Summer,Rio de Janeiro,Gymnastics,Thanks,1,1
6,156,46,M,1924,Summer,Rio de Janeiro,Swimming,Thanks,1,6
25,178,75,M,1976,Summer,Athina,Art Competitions,Thanks,1,1
28,188,67,F,1976,Summer,London,Sailing,Thanks,1,1
20,172,68,M,1972,Summer,Helsinki,Trampolining,Thanks,1,1
19,172,65,M,1992,Summer,London,Athletics,Thanks,1,1
21,177,69,M,1964,Summer,Moskva,Football,Silver,1,1
20,154,52,F,2016,Summer,Beijing,Wrestling,Bronze,1,1
16,173,62,M,1988,Summer,Beijing,Shooting,Thanks,1,1
42,172,71,F,1984,Summer,Calgary,Sailing,Thanks,1,1
25,193,75,M,1996,Summer,Atlanta,Curling,Thanks,1,1
26,174,76,M,1996,Summer,London,Beach Volleyball,Thanks,1,1
10,174,63,M,1952,Summer,Munich,Athletics,Thanks,1,1
17,171,59,F,2004,Summer,Tokyo,Athletics,Thanks,1,1
18,186,77,M,2016,Summer,Sydney,Swimming,Thanks,1,1
24,189,85,M,1972,Summer,Lillehammer,Athletics,Thanks,1,1
40,213,109,M,1912,Winter,London,Sailing,Gold,1,2
33,182,75,M,1928,Summer,London,Equestrianism,Thanks,1,1
27,192,90,M,2004,Summer,Athina,Athletics,Thanks,1,1
22,191,91,M,2012,Summer,Athina,Athletics,Thanks,1,1
28,187,85,M,2008,Summer,Athina,Wrestling,Thanks,1,1
21,173,63,F,2004,Summer,Barcelona,Diving,Thanks,1,1
33,196,93,M,1996,Summer,Rio de Janeiro,Rowing,Thanks,1,1
20,196,95,M,1998,Summer,Athina,Basketball,Thanks,1,1
24,176,69,M,1996,Summer,Sydney,Swimming,Thanks,1,2
29,170,72,M,2016,Summer,Rio de Janeiro,Handball,Thanks,1,2
31,174,76,M,2008,Summer,Oslo,Athletics,Thanks,1,1
26,184,86,M,1984,Summer,Los Angeles,Boxing,Thanks,1,1
26,191,98,M,2012,Winter,Barcelona,Cycling,Thanks,1,1
17,179,80,M,2004,Summer,Los Angeles,Athletics,Thanks,1,1
27,162,56,F,1996,Summer,Atlanta,Baseball,Thanks,1,1
18,167,63,M,1964,Summer,Torino,Swimming,Thanks,1,1
33,163,57,F,1964,Summer,Roma,Cross Country Skiing,Thanks,1,2
32,168,63,F,1972,Summer,Beijing,Athletics,Thanks,1,3
15,197,91,M,1984,Summer,Rio de Janeiro,Rowing,Thanks,1,1
27,181,82,M,1984,Summer,Moskva,Canoeing,Bronze,1,1
39,175,75,M,1928,Summer,Tokyo,Table Tennis,Thanks,1,1
18,179,72,M,1928,Summer,Beijing,Swimming,Thanks,1,1
18,170,63,M,2012,Summer,Melbourne,Luge,Thanks,1,1
31,184,88,M,1996,Summer,Atlanta,Sailing,Thanks,1,1
34,160,62,M,1976,Summer,Atlanta,Softball,Thanks,1,1
31,161,63,M,2008,Summer,Munich,Modern Pentathlon,Bronze,1,2
34,174,74,M,1924,Summer,Mexico City,Cross Country Skiing,Thanks,1,1
26,178,77,M,1964,Summer,Athina,Tennis,Thanks,1,2
18,163,58,M,1912,Summer,Beijing,Athletics,Thanks,1,2
17,184,72,M,2012,Summer,London,Golf,Thanks,1,1
22,172,66,F,2012,Summer,Barcelona,Tennis,Thanks,1,1
37,173,75,F,1948,Summer,Oslo,Football,Thanks,1,1
29,196,98,M,1968,Summer,Moskva,Curling,Thanks,1,1
25,184,85,F,1996,Summer,Atlanta,Swimming,Thanks,1,1
32,165,62,M,1976,Summer,Lake Placid,Athletics,Thanks,1,1
22,178,72,M,2000,Summer,Helsinki,Basketball,Thanks,1,1
24,170,63,F,1932,Summer,Helsinki,Athletics,Thanks,1,2
20,179,74,M,1992,Summer,Athina,Water Polo,Bronze,1,2
24,175,66,M,1964,Summer,Sydney,Swimming,Thanks,1,2
25,169,68,M,1988,Summer,Seoul,Athletics,Thanks,1,2
27,182,78,M,1896,Summer,Athina,Diving,Thanks,1,1
18,178,70,M,1996,Summer,Sydney,Basketball,Thanks,1,1
19,182,68,M,2000,Summer,Roma,Basketball,Thanks,1,1
29,173,64,F,2016,Summer,Athina,Softball,Thanks,1,1
26,188,81,M,2008,Summer,Beijing,Athletics,Thanks,1,1
28,182,81,M,2008,Winter,London,Shooting,Thanks,1,1
20,177,66,M,1984,Summer,Antwerpen,Biathlon,Thanks,1,1
18,176,69,M,2004,Summer,Melbourne,Swimming,Thanks,1,1
30,186,87,M,1996,Summer,Nagano,Fencing,Thanks,1,1
26,186,75,M,1936,Summer,Barcelona,Athletics,Thanks,1,2
34,188,103,M,2004,Summer,Sarajevo,Speed Skating,Thanks,1,1
27,183,72,M,1896,Summer,Athina,Athletics,Thanks,1,1
26,179,68,F,1996,Summer,Atlanta,Snowboarding,Thanks,1,1
30,186,80,M,2000,Summer,Salt Lake City,Athletics,Thanks,1,2
29,171,59,F,1996,Summer,Atlanta,Athletics,Thanks,1,1
32,173,69,M,1976,Summer,Roma,Lacrosse,Thanks,1,1
29,168,60,M,2008,Summer,Tokyo,Art Competitions,Thanks,1,1
21,165,60,F,2012,Summer,Tokyo,Athletics,Thanks,1,1
25,192,102,M,1972,Summer,Beijing,Wrestling,Thanks,1,1
27,173,63,F,2004,Summer,Melbourne,Tennis,Thanks,1,1
29,177,74,M,2016,Summer,Salt Lake City,Fencing,Thanks,1,1
28,171,80,M,1952,Summer,Mexico City,Badminton,Thanks,1,1
29,180,70,M,1968,Summer,Rio de Janeiro,Basketball,Thanks,1,1
20,181,83,M,1980,Summer,Amsterdam,Football,Thanks,1,2
31,170,57,M,1968,Summer,Oslo,Athletics,Thanks,1,1
25,174,56,M,1964,Summer,Rio de Janeiro,Athletics,Thanks,1,1
26,180,69,M,1988,Summer,London,Athletics,Thanks,1,1
18,170,61,F,1998,Summer,Calgary,Table Tennis,Thanks,1,1
31,179,91,M,1960,Summer,Sydney,Rowing,Thanks,1,1
22,172,64,M,1928,Summer,Torino,Athletics,Thanks,1,2
26,182,82,M,1964,Winter,Tokyo,Wrestling,Thanks,1,2
19,172,45,F,1998,Winter,Montreal,Swimming,Thanks,1,2
21,178,74,M,2008,Summer,London,Water Polo,Gold,1,2
19,188,96,M,1896,Summer,Calgary,Football,Thanks,1,1
23,157,42,M,1924,Summer,London,Athletics,Thanks,1,1
25,188,87,M,1972,Summer,Los Angeles,Sailing,Thanks,1,1
21,162,51,F,2004,Summer,Montreal,Football,Thanks,1,1
29,175,74,M,2000,Winter,Albertville,Boxing,Thanks,1,1
25,184,89,F,1992,Summer,Antwerpen,Table Tennis,Thanks,1,1
31,169,66,F,2004,Summer,Roma,Wrestling,Thanks,1,1
20,178,71,M,1984,Summer,Sarajevo,Football,Thanks,1,1
20,168,61,F,1900,Summer,Atlanta,Speed Skating,Thanks,1,1
18,171,51,M,1936,Summer,London,Football,Thanks,1,1
21,171,72,M,1980,Winter,Innsbruck,Bobsleigh,Thanks,1,2
21,185,100,M,2000,Winter,Innsbruck,Cross Country Skiing,Gold,1,1
20,175,68,M,1976,Winter,Innsbruck,Cross Country Skiing,Thanks,1,2
22,173,75,M,1988,Summer,Mexico City,Football,Thanks,1,1
28,176,71,M,1988,Summer,Rio de Janeiro,Athletics,Thanks,1,1
27,172,63,F,2008,Winter,Sochi,Football,Thanks,1,2
29,164,66,M,2012,Winter,Torino,Bobsleigh,Thanks,1,3
24,181,73,M,1936,Summer,London,Hockey,Thanks,1,1
25,174,63,M,1980,Summer,Salt Lake City,Wrestling,Thanks,1,2
26,180,72,M,1988,Winter,Athina,Fencing,Thanks,1,1
22,179,74,M,1996,Summer,Calgary,Basketball,Thanks,1,1
26,181,74,M,1984,Summer,London,Football,Thanks,1,1
24,169,51,F,1928,Summer,London,Table Tennis,Thanks,1,1
25,176,72,M,2016,Summer,Salt Lake City,Athletics,Thanks,1,1
26,173,67,M,1972,Summer,Moskva,Football,Thanks,1,1
28,177,74,M,2012,Summer,Nagano,Swimming,Thanks,1,1
26,182,75,M,2004,Summer,London,Fencing,Thanks,1,1
29,184,90,M,1968,Summer,Berlin,Athletics,Thanks,1,1
30,168,48,M,2012,Summer,Sochi,Equestrianism,Thanks,1,2
27,168,53,M,1972,Summer,Montreal,Synchronized Swimming,Thanks,1,2
24,181,73,F,1928,Summer,Innsbruck,Athletics,Thanks,1,1
22,178,77,M,2016,Summer,Munich,Table Tennis,Thanks,1,2
27,190,101,M,2004,Winter,Montreal,Luge,Bronze,1,1
28,164,61,F,2004,Summer,Athina,Equestrianism,Thanks,1,1
28,179,79,M,1988,Summer,Athina,Athletics,Thanks,1,1
32,176,73,M,1980,Summer,London,Swimming,Thanks,1,1
26,174,70,M,2012,Summer,Seoul,Athletics,Thanks,1,2
27,186,94,M,2004,Summer,Athina,Rhythmic Gymnastics,Bronze,1,1
18,184,74,F,1924,Summer,London,Synchronized Swimming,Thanks,1,2
30,179,70,M,1960,Summer,Sydney,Football,Thanks,1,1
30,174,71,M,1964,Winter,Sydney,Sailing,Thanks,1,2
24,165,43,F,2012,Summer,Sarajevo,Boxing,Bronze,1,2
28,179,74,M,2000,Summer,London,Gymnastics,Thanks,1,1
25,161,43,F,1972,Summer,Paris,Boxing,Thanks,1,1
29,174,72,M,1996,Summer,Atlanta,Cycling,Thanks,1,1
30,172,67,M,2012,Summer,Sydney,Shooting,Thanks,1,3
28,186,94,M,2004,Summer,London,Bobsleigh,Thanks,1,1
34,172,66,F,1976,Winter,Antwerpen,Swimming,Thanks,1,1
20,168,57,M,2008,Summer,Seoul,Table Tennis,Thanks,1,1
24,171,70,M,1976,Summer,London,Football,Thanks,1,1
21,165,57,F,1996,Summer,Atlanta,Cycling,Thanks,1,1
22,176,80,M,2016,Summer,Barcelona,Fencing,Thanks,1,2
24,175,78,M,1908,Summer,Montreal,Rhythmic Gymnastics,Thanks,1,1
23,178,83,M,2004,Summer,Helsinki,Fencing,Thanks,1,1
30,168,55,F,2006,Summer,Barcelona,Athletics,Thanks,1,1
39,174,79,M,2012,Winter,Oslo,Athletics,Thanks,1,2
32,165,58,M,2012,Summer,Rio de Janeiro,Athletics,Thanks,1,1
19,184,86,M,1896,Winter,Montreal,Rowing,Thanks,1,1
38,164,56,F,1996,Summer,Atlanta,Athletics,Thanks,1,1
20,175,62,M,2016,Summer,Stockholm,Athletics,Thanks,1,1
21,152,50,F,1980,Winter,Nagano,Athletics,Thanks,1,1
22,165,57,M,1972,Summer,Los Angeles,Athletics,Thanks,1,1
15,169,67,M,1992,Summer,Atlanta,Boxing,Thanks,1,1
21,173,59,M,1988,Summer,Seoul,Athletics,Thanks,1,2
19,171,69,M,1980,Summer,Atlanta,Football,Thanks,1,1
16,178,76,M,2004,Summer,Rio de Janeiro,Taekwondo,Thanks,1,1
30,173,78,M,2002,Winter,Sydney,Shooting,Thanks,1,1
15,178,73,M,2004,Summer,Athina,Boxing,Thanks,1,1
34,190,87,M,1960,Summer,Beijing,Rowing,Thanks,1,1
21,174,72,M,2000,Summer,Sydney,Luge,Thanks,1,1
27,168,58,M,1908,Summer,Seoul,Athletics,Thanks,1,1
28,184,88,M,1928,Summer,Melbourne,Table Tennis,Thanks,1,1
22,172,64,F,2008,Summer,Cortina d'Ampezzo,Rowing,Thanks,1,2
24,182,71,M,2016,Summer,Seoul,Water Polo,Thanks,1,1
23,182,74,M,1960,Summer,Roma,Swimming,Thanks,1,1
23,175,71,M,1984,Summer,Los Angeles,Shooting,Thanks,1,1
28,174,74,M,1964,Summer,Sochi,Cycling,Thanks,1,2
17,184,65,F,1932,Summer,Seoul,Boxing,Thanks,1,2
23,183,77,M,1984,Winter,Albertville,Swimming,Thanks,1,1
26,175,65,F,1976,Summer,Moskva,Archery,Thanks,1,1
27,171,72,F,1976,Summer,Moskva,Athletics,Thanks,1,1
11,174,65,M,2016,Summer,Seoul,Cycling,Thanks,1,1
25,180,74,M,2016,Summer,Roma,Basketball,Thanks,1,1
28,174,77,M,2000,Summer,Athina,Athletics,Thanks,1,1
27,183,80,M,1996,Summer,Rio de Janeiro,Wrestling,Thanks,1,3
21,166,63,M,1996,Winter,Albertville,Wrestling,Thanks,1,1
44,173,66,F,2008,Summer,Beijing,Shooting,Thanks,1,1
19,172,72,M,2004,Winter,Munich,Swimming,Thanks,1,3
27,174,70,F,1960,Summer,Barcelona,Table Tennis,Thanks,1,1
31,172,71,F,1900,Summer,Moskva,Sailing,Thanks,1,2
31,175,75,M,1896,Summer,Athina,Handball,Thanks,1,1
35,187,99,M,1972,Summer,Torino,Fencing,Thanks,1,1
28,180,80,M,1984,Winter,Sydney,Biathlon,Thanks,1,1
27,168,64,M,2006,Summer,Athina,Athletics,Thanks,1,1
18,180,67,F,1996,Summer,Roma,Athletics,Thanks,1,1
16,179,71,M,1924,Winter,Oslo,Cross Country Skiing,Thanks,1,1
10,173,73,F,1988,Summer,London,Swimming,Thanks,1,1
15,188,87,M,1968,Winter,Nagano,Wrestling,Thanks,1,1
24,161,75,M,1972,Summer,Melbourne,Athletics,Thanks,1,1
22,182,78,F,2008,Winter,Amsterdam,Swimming,Thanks,1,2
28,179,83,M,2004,Summer,Barcelona,Shooting,Thanks,1,1
32,178,73,M,2008,Summer,Seoul,Alpine Skiing,Thanks,1,2
27,179,75,M,1920,Summer,Barcelona,Athletics,Thanks,1,1
17,179,83,M,1948,Winter,Amsterdam,Alpine Skiing,Thanks,1,1
20,171,75,F,2012,Summer,Atlanta,Swimming,Thanks,1,1
23,187,89,M,1952,Summer,Moskva,Athletics,Thanks,1,1
26,186,78,M,2012,Summer,Berlin,Snowboarding,Thanks,1,1
20,187,81,M,1998,Winter,Sydney,Football,Thanks,1,1
32,178,72,M,2012,Summer,Tokyo,Wrestling,Bronze,1,1
25,154,36,F,2004,Summer,Athina,Athletics,Gold,1,5
28,182,83,M,2012,Summer,Munich,Rowing,Thanks,1,1
20,169,80,M,1972,Winter,Atlanta,Lacrosse,Thanks,1,1
20,175,69,M,1988,Summer,Amsterdam,Football,Thanks,1,1
32,184,80,M,1896,Summer,Beijing,Football,Thanks,1,1
29,183,75,M,2016,Summer,Amsterdam,Football,Thanks,1,2
25,145,41,F,1960,Winter,Helsinki,Athletics,Thanks,1,2
35,170,62,M,2016,Summer,Athina,Athletics,Thanks,1,1
26,158,57,F,1952,Winter,Mexico City,Triathlon,Thanks,1,4
32,158,52,F,1924,Winter,Paris,Fencing,Thanks,1,2
25,182,85,M,2016,Summer,Athina,Basketball,Thanks,1,1
22,191,93,F,2012,Summer,London,Swimming,Thanks,1,1
19,173,60,M,2012,Summer,London,Swimming,Thanks,1,1
13,151,51,M,1988,Winter,Seoul,Canoeing,Thanks,1,3
29,176,71,M,1996,Summer,London,Athletics,Thanks,1,1
14,184,88,M,2008,Winter,Munich,Boxing,Thanks,1,1
13,187,97,M,1932,Winter,Athina,Boxing,Thanks,1,1
27,187,82,M,1988,Summer,Berlin,Equestrianism,Thanks,1,1
28,150,42,F,2004,Summer,Beijing,Athletics,Thanks,1,3
21,180,84,M,1996,Summer,Melbourne,Modern Pentathlon,Thanks,1,2
21,162,59,F,2004,Summer,Beijing,Boxing,Thanks,1,1
20,186,84,M,1996,Summer,London,Swimming,Thanks,1,1
34,193,96,M,2000,Summer,Moskva,Rowing,Thanks,1,1
19,186,82,M,1992,Summer,Barcelona,Snowboarding,Thanks,1,1
29,192,101,M,1996,Winter,Moskva,Cycling,Thanks,1,1
29,185,84,M,1998,Summer,London,Weightlifting,Thanks,1,2
22,185,74,M,2008,Winter,London,Swimming,Thanks,1,1
23,187,84,M,2000,Summer,Munich,Athletics,Thanks,1,1
30,180,75,M,2004,Winter,London,Wrestling,Thanks,1,2
22,176,80,M,1964,Summer,Athina,Speed Skating,Thanks,1,1
24,176,69,M,2006,Winter,Seoul,Wrestling,Thanks,1,1
30,179,73,M,1988,Summer,Seoul,Athletics,Thanks,1,1
12,162,68,M,1996,Summer,Oslo,Swimming,Thanks,1,1
19,183,76,M,1948,Summer,Beijing,Swimming,Thanks,1,1
25,169,61,M,1984,Summer,Beijing,Athletics,Thanks,1,1
29,186,81,M,2016,Summer,Athina,Alpine Skiing,Thanks,1,1
31,177,75,M,1968,Winter,Sydney,Shooting,Thanks,1,1
22,185,77,M,2012,Summer,Oslo,Athletics,Thanks,1,1
21,173,62,F,2002,Winter,Seoul,Athletics,Thanks,1,2
29,192,88,F,1988,Summer,Seoul,Cross Country Skiing,Gold,1,1
22,187,84,M,1988,Winter,Seoul,Athletics,Thanks,1,2
29,191,79,M,1988,Summer,Seoul,Volleyball,Silver,1,1
26,183,75,M,1984,Summer,Atlanta,Athletics,Thanks,1,1
21,161,52,M,1992,Summer,Grenoble,Athletics,Thanks,1,1
33,175,71,M,2012,Summer,Tokyo,Biathlon,Silver,1,1
34,165,64,M,1996,Summer,Atlanta,Cycling,Thanks,1,2
23,179,78,M,2012,Summer,London,Athletics,Thanks,1,1
23,194,98,M,2000,Summer,Sydney,Athletics,Thanks,1,1
31,207,114,M,2016,Summer,Athina,Athletics,Thanks,1,1
24,173,65,M,2014,Summer,Los Angeles,Canoeing,Thanks,1,1
35,168,64,F,2000,Summer,Atlanta,Sailing,Thanks,1,1
19,187,86,M,1988,Summer,Torino,Athletics,Thanks,1,2
26,172,63,M,2000,Summer,Mexico City,Athletics,Thanks,1,1
15,184,76,M,1992,Summer,Sydney,Athletics,Thanks,1,2
24,175,84,M,1996,Summer,Atlanta,Weightlifting,Thanks,1,1
28,176,71,M,1980,Summer,Sydney,Athletics,Thanks,1,2
35,185,92,M,1972,Summer,Moskva,Handball,Thanks,1,1
30,175,67,M,1988,Summer,Athina,Cycling,Thanks,1,2
29,164,59,M,1912,Summer,Seoul,Hockey,Thanks,1,1
30,175,75,M,2000,Summer,Sydney,Ice Hockey,Thanks,1,1
25,178,78,M,2008,Summer,Tokyo,Swimming,Thanks,1,1
27,172,71,M,1996,Summer,Munich,Handball,Thanks,1,1
32,181,73,F,1912,Summer,Stockholm,Speed Skating,Silver,1,1
24,163,53,M,1912,Summer,London,Athletics,Thanks,1,2
27,174,70,F,2016,Summer,Sydney,Volleyball,Bronze,1,1
29,173,66,M,1996,Summer,Atlanta,Wrestling,Thanks,1,3
29,186,86,M,1998,Summer,Athina,Athletics,Thanks,1,1
22,171,59,M,2002,Summer,Salt Lake City,Athletics,Thanks,1,2
30,181,84,M,1992,Summer,Beijing,Handball,Thanks,1,1
34,183,77,M,1972,Summer,London,Biathlon,Thanks,1,2
26,163,59,M,1932,Summer,Melbourne,Football,Thanks,1,2
19,188,76,M,2008,Summer,Sydney,Athletics,Thanks,1,1
34,174,71,M,1988,Summer,Seoul,Fencing,Thanks,1,2
23,180,78,M,1984,Summer,Rio de Janeiro,Shooting,Thanks,1,1
