Age,Height,Weight,Sex,Year,Season,City,Sport,Medal,AOS,AOE
19,175,75,M,2012,Summer,London,Boxing,Thanks,1,2
23,175,75,M,2016,Summer,Rio de Janeiro,Boxing,Thanks,1,2
22,188,96,M,1988,Summer,Seoul,Rowing,Gold,1,2
29,188,96,M,1996,Summer,Atlanta,Rowing,Gold,1,2
34,188,96,M,2000,Summer,Sydney,Rowing,Gold,1,2
22,182,90,M,1984,Summer,Los Angeles,Rowing,Gold,1,2
26,182,90,M,1988,Summer,Seoul,Rowing,Gold,1,2
30,182,90,M,1992,Summer,Barcelona,Rowing,Silver,1,2
34,182,90,M,1996,Summer,Atlanta,Rowing,Thanks,1,2
20,187,97,M,1980,Summer,Moskva,Rowing,Thanks,1,1
25,187,97,M,1984,Summer,Los Angeles,Rowing,Gold,1,1
29,187,97,M,1988,Summer,Seoul,Rowing,Gold,1,1
33,187,97,M,1992,Summer,Barcelona,Rowing,Silver,1,1
23,176,64,M,1976,Summer,Montreal,Athletics,Thanks,1,2
27,176,64,M,1980,Summer,Moskva,Athletics,Thanks,1,2
20,175,66,M,2016,Summer,Rio de Janeiro,Athletics,Thanks,1,1
22,190,88,M,1996,Summer,Atlanta,Athletics,Thanks,1,1
21,169,67,M,1964,Summer,Tokyo,Weightlifting,Thanks,1,1
22,175,80,M,2004,Summer,Athina,Football,Thanks,1,1
20,160,65,M,1980,Summer,Moskva,Athletics,Thanks,1,1
24,181,74,M,1992,Summer,Barcelona,Athletics,Thanks,1,1
28,168,60,M,1960,Summer,Roma,Weightlifting,Thanks,1,1
32,168,60,M,1964,Summer,Tokyo,Weightlifting,Thanks,1,1
22,178,78,M,1988,Summer,Seoul,Athletics,Thanks,1,2
22,165,65,M,2000,Summer,Sydney,Cycling,Thanks,1,1
19,167,60,M,1952,Summer,Helsinki,Diving,Thanks,1,1
26,170,70,M,2004,Summer,Athina,Swimming,Thanks,1,1
23,168,55,M,2010,Winter,Vancouver,Alpine Skiing,Thanks,1,1
28,173,77,M,2004,Summer,Athina,Weightlifting,Thanks,1,1
25,178,80,M,2000,Summer,Sydney,Hockey,Thanks,1,1
29,178,80,M,2004,Summer,Athina,Hockey,Thanks,1,1
37,178,80,M,2012,Summer,London,Hockey,Thanks,1,1
31,190,85,M,1952,Summer,Helsinki,Basketball,Thanks,1,1
28,170,62,M,1984,Summer,Los Angeles,Hockey,Thanks,1,1
20,164,58,F,2014,Winter,Sochi,Alpine Skiing,Thanks,1,1
20,165,60,M,2004,Summer,Athina,Hockey,Thanks,1,1
24,165,60,M,2008,Summer,Beijing,Hockey,Thanks,1,1
28,165,60,M,2012,Summer,London,Hockey,Thanks,1,1
28,173,60,F,2012,Summer,London,Rowing,Thanks,1,1
22,181,74,M,2008,Summer,Beijing,Athletics,Thanks,1,1
18,182,76,M,2008,Summer,Beijing,Swimming,Thanks,1,1
33,159,53,F,2000,Summer,Sydney,Weightlifting,Thanks,1,1
28,171,64,F,2012,Summer,London,Water Polo,Thanks,1,1
24,164,58,M,1900,Summer,Paris,Gymnastics,Thanks,1,1
23,192,90,M,2000,Summer,Sydney,Football,Thanks,1,1
23,178,72,F,2016,Summer,Rio de Janeiro,Handball,Thanks,1,1
29,195,85,M,2000,Summer,Sydney,Basketball,Thanks,1,1
15,175,64,M,1964,Winter,Innsbruck,Figure Skating,Thanks,1,1
19,175,64,M,1968,Winter,Grenoble,Figure Skating,Thanks,1,1
24,180,104,M,2016,Summer,Rio de Janeiro,Weightlifting,Thanks,1,1
23,175,71,M,1906,Summer,Athina,Football,Bronze,1,1
42,172,80,M,1996,Summer,Atlanta,Sailing,Thanks,1,1
46,172,80,M,2000,Summer,Sydney,Sailing,Thanks,1,1
30,167,58,F,2016,Summer,Rio de Janeiro,Equestrianism,Thanks,1,2
26,183,75,M,1928,Summer,Amsterdam,Athletics,Thanks,1,1
21,184,87,M,2008,Summer,Beijing,Hockey,Bronze,1,1
23,179,80,M,2008,Summer,Beijing,Hockey,Thanks,1,1
24,175,70,M,2010,Winter,Vancouver,Figure Skating,Thanks,1,2
28,175,70,M,2014,Winter,Sochi,Figure Skating,Thanks,1,2
19,179,71,M,1976,Summer,Montreal,Canoeing,Thanks,1,1
41,160,57,F,1996,Summer,Atlanta,Sailing,Thanks,1,1
21,164,63,F,2008,Summer,Beijing,Sailing,Thanks,1,1
30,163,52,F,2016,Summer,Rio de Janeiro,Cycling,Thanks,1,1
23,173,70,F,1900,Summer,Paris,Golf,Gold,1,1
42,173,70,F,1900,Summer,Paris,Golf,Thanks,1,1
34,185,91,M,2000,Summer,Sydney,Sailing,Thanks,1,1
23,191,88,F,2008,Summer,Beijing,Softball,Silver,1,1
40,165,57,F,2008,Summer,Beijing,Archery,Thanks,1,1
22,185,98,M,2000,Summer,Sydney,Wrestling,Thanks,1,2
26,185,98,M,2004,Summer,Athina,Wrestling,Thanks,1,2
34,185,98,M,2012,Summer,London,Wrestling,Thanks,1,2
23,195,94,M,2008,Summer,Beijing,Volleyball,Thanks,1,1
22,192,83,M,2004,Summer,Athina,Handball,Thanks,1,1
26,192,83,M,2008,Summer,Beijing,Handball,Thanks,1,1
21,176,67,F,2008,Summer,Beijing,Taekwondo,Thanks,1,1
15,167,60,F,2008,Summer,Beijing,Synchronized Swimming,Thanks,1,2
19,167,60,F,2012,Summer,London,Synchronized Swimming,Thanks,1,2
25,163,57,M,2008,Summer,Beijing,Athletics,Thanks,1,1
28,203,97,M,2016,Summer,Rio de Janeiro,Volleyball,Thanks,1,1
25,183,82,M,1992,Summer,Barcelona,Handball,Thanks,1,1
29,183,82,M,1996,Summer,Atlanta,Handball,Thanks,1,1
24,164,58,M,1960,Summer,Roma,Gymnastics,Thanks,1,8
22,178,72,M,1992,Summer,Barcelona,Fencing,Thanks,1,1
20,175,56,F,2004,Summer,Athina,Taekwondo,Silver,1,1
21,168,57,M,1964,Summer,Tokyo,Athletics,Thanks,1,2
29,168,57,M,1972,Summer,Munich,Athletics,Thanks,1,2
25,176,67,M,1952,Summer,Helsinki,Athletics,Thanks,1,1
23,169,68,M,1972,Summer,Munich,Athletics,Thanks,1,1
19,158,49,F,1984,Summer,Los Angeles,Athletics,Thanks,1,1
18,172,61,F,2016,Summer,Rio de Janeiro,Diving,Thanks,1,1
25,174,70,M,2000,Summer,Sydney,Volleyball,Thanks,1,1
32,168,68,M,2000,Summer,Sydney,Shooting,Thanks,1,1
23,170,69,M,1972,Summer,Munich,Football,Thanks,1,1
19,175,71,M,1960,Summer,Roma,Football,Thanks,1,1
31,176,67,M,1952,Summer,Helsinki,Athletics,Thanks,1,1
25,176,67,M,1960,Summer,Roma,Athletics,Thanks,1,1
23,174,69,M,2000,Summer,Sydney,Cycling,Thanks,1,1
23,180,56,M,1960,Summer,Roma,Boxing,Thanks,1,2
32,180,56,M,1968,Summer,Mexico City,Boxing,Thanks,1,2
25,176,73,M,1972,Summer,Munich,Athletics,Thanks,1,2
18,154,48,F,2000,Summer,Sydney,Synchronized Swimming,Thanks,1,1
22,154,48,F,2004,Summer,Athina,Synchronized Swimming,Thanks,1,1
18,153,46,F,2000,Summer,Sydney,Synchronized Swimming,Thanks,1,1
29,173,69,M,1992,Summer,Barcelona,Hockey,Thanks,1,1
25,185,82,M,1960,Summer,Roma,Rowing,Thanks,1,1
30,186,100,M,2004,Summer,Athina,Water Polo,Thanks,1,1
31,178,72,M,1948,Summer,London,Fencing,Thanks,1,3
35,178,72,M,1952,Summer,Helsinki,Fencing,Thanks,1,3
25,185,84,M,1960,Summer,Roma,Water Polo,Thanks,1,1
32,152,52,M,1976,Summer,Montreal,Weightlifting,Thanks,1,1
24,193,82,M,1984,Summer,Los Angeles,Volleyball,Thanks,1,1
23,162,57,M,1968,Summer,Mexico City,Boxing,Thanks,1,1
25,172,72,M,1948,Summer,London,Wrestling,Thanks,1,1
20,175,71,M,1992,Summer,Barcelona,Football,Thanks,1,1
25,189,85,M,1972,Summer,Munich,Basketball,Thanks,1,1
21,185,84,M,1948,Summer,London,Water Polo,Thanks,2,3
21,178,70,M,1948,Summer,London,Swimming,Thanks,2,3
25,185,84,M,1952,Summer,Helsinki,Water Polo,Thanks,2,3
25,178,70,M,1952,Summer,Helsinki,Swimming,Thanks,2,3
33,185,84,M,1960,Summer,Roma,Water Polo,Thanks,2,3
25,176,67,M,1960,Summer,Roma,Athletics,Thanks,1,1
24,168,81,M,1952,Summer,Helsinki,Weightlifting,Thanks,1,1
32,168,81,M,1960,Summer,Roma,Weightlifting,Thanks,1,1
24,183,76,M,1976,Summer,Montreal,Handball,Thanks,1,1
28,172,68,M,1988,Summer,Seoul,Wrestling,Thanks,1,1
29,183,82,M,2008,Summer,Beijing,Handball,Thanks,1,1
23,178,67,M,1984,Summer,Los Angeles,Basketball,Thanks,1,1
27,178,67,M,1988,Summer,Seoul,Basketball,Thanks,1,1
24,183,82,M,1992,Summer,Barcelona,Handball,Thanks,1,1
25,188,92,M,2004,Summer,Athina,Water Polo,Thanks,1,1
19,198,80,M,1972,Summer,Munich,Basketball,Thanks,1,1
23,198,80,M,1976,Summer,Montreal,Basketball,Thanks,1,1
23,197,87,M,2008,Summer,Beijing,Volleyball,Thanks,1,1
31,197,87,M,2016,Summer,Rio de Janeiro,Volleyball,Thanks,1,1
21,176,74,M,1996,Summer,Atlanta,Athletics,Thanks,1,1
24,185,82,M,1964,Summer,Tokyo,Rowing,Thanks,1,1
18,185,84,M,1960,Summer,Roma,Water Polo,Thanks,1,1
22,185,84,M,1964,Summer,Tokyo,Water Polo,Thanks,1,1
21,178,72,M,1936,Summer,Berlin,Fencing,Thanks,1,4
33,178,72,M,1948,Summer,London,Fencing,Thanks,1,4
37,178,72,M,1952,Summer,Helsinki,Fencing,Thanks,1,4
20,172,63,M,1952,Summer,Helsinki,Boxing,Thanks,1,1
25,185,84,M,1960,Summer,Roma,Water Polo,Thanks,1,1
27,188,79,M,1984,Summer,Los Angeles,Volleyball,Thanks,1,1
16,178,72,M,1960,Summer,Roma,Fencing,Thanks,1,2
21,178,72,M,1964,Summer,Tokyo,Fencing,Thanks,1,2
30,180,120,M,2008,Summer,Beijing,Wrestling,Thanks,1,1
28,170,60,M,2008,Summer,Beijing,Shooting,Thanks,1,2
36,170,60,M,2016,Summer,Rio de Janeiro,Shooting,Thanks,1,2
21,175,71,M,1992,Summer,Barcelona,Football,Thanks,1,1
21,190,83,M,2004,Summer,Athina,Fencing,Thanks,1,1
26,190,95,M,2000,Summer,Sydney,Rowing,Thanks,1,1
22,165,48,M,2000,Summer,Sydney,Boxing,Thanks,1,1
27,195,95,M,2000,Summer,Sydney,Boxing,Thanks,1,1
28,185,82,M,1964,Summer,Tokyo,Rowing,Thanks,1,1
25,185,82,M,1960,Summer,Roma,Rowing,Thanks,1,1
24,183,82,M,1996,Summer,Atlanta,Handball,Thanks,1,1
22,157,48,M,1976,Summer,Montreal,Boxing,Thanks,1,1
19,164,58,M,1948,Summer,London,Gymnastics,Thanks,1,8
25,172,72,M,1948,Summer,London,Wrestling,Thanks,1,1
23,165,57,F,2004,Summer,Athina,Shooting,Thanks,1,1
27,165,57,F,2008,Summer,Beijing,Shooting,Thanks,1,1
35,165,57,F,2016,Summer,Rio de Janeiro,Shooting,Thanks,1,1
23,175,71,M,1972,Summer,Munich,Football,Thanks,1,1
27,188,89,M,2016,Summer,Rio de Janeiro,Volleyball,Thanks,1,1
24,176,60,M,2016,Summer,Rio de Janeiro,Boxing,Thanks,1,1
26,175,81,M,2016,Summer,Rio de Janeiro,Judo,Thanks,1,1
24,164,58,M,1948,Summer,London,Gymnastics,Thanks,1,8
41,174,74,M,2008,Summer,Beijing,Shooting,Thanks,1,1
24,173,77,M,2012,Summer,London,Weightlifting,Thanks,1,1
28,173,77,M,2016,Summer,Rio de Janeiro,Weightlifting,Thanks,1,1
17,159,51,F,2008,Summer,Beijing,Synchronized Swimming,Thanks,1,1
21,170,58,M,2008,Summer,Beijing,Athletics,Thanks,1,1
25,175,71,M,1984,Summer,Los Angeles,Football,Thanks,1,1
21,170,94,M,2012,Summer,London,Weightlifting,Thanks,1,2
25,170,94,M,2016,Summer,Rio de Janeiro,Weightlifting,Thanks,1,2
20,176,67,M,1952,Summer,Helsinki,Athletics,Thanks,1,1
36,170,70,M,2004,Summer,Athina,Shooting,Thanks,1,1
40,170,70,M,2008,Summer,Beijing,Shooting,Thanks,1,1
23,184,68,M,2016,Summer,Rio de Janeiro,Football,Thanks,1,1
19,160,46,F,2016,Summer,Rio de Janeiro,Synchronized Swimming,Thanks,1,1
23,170,60,M,2012,Summer,London,Wrestling,Thanks,1,1
20,165,60,M,2016,Summer,Rio de Janeiro,Judo,Thanks,1,1
23,194,96,M,2012,Summer,London,Athletics,Thanks,1,1
22,167,63,M,2000,Summer,Sydney,Gymnastics,Thanks,1,5
21,183,82,M,2008,Summer,Beijing,Handball,Thanks,1,1
26,207,90,M,2016,Summer,Rio de Janeiro,Volleyball,Thanks,1,1
24,170,63,M,1980,Summer,Moskva,Athletics,Thanks,1,1
19,170,63,M,1988,Summer,Seoul,Athletics,Thanks,1,1
23,170,63,M,1992,Summer,Barcelona,Athletics,Thanks,1,1
22,173,60,F,2008,Summer,Beijing,Volleyball,Thanks,1,1
26,173,60,F,2012,Summer,London,Volleyball,Thanks,1,1
22,170,80,M,2012,Summer,London,Wrestling,Thanks,1,2
26,170,80,M,2016,Summer,Rio de Janeiro,Wrestling,Bronze,1,2
27,176,56,M,2016,Summer,Rio de Janeiro,Athletics,Thanks,1,2
30,178,66,M,2008,Summer,Beijing,Athletics,Thanks,1,1
34,178,66,M,2012,Summer,London,Athletics,Thanks,1,1
19,177,65,M,1992,Summer,Barcelona,Athletics,Thanks,1,1
23,177,65,M,1996,Summer,Atlanta,Athletics,Thanks,1,1
21,170,57,M,1988,Summer,Seoul,Athletics,Thanks,1,2
25,170,57,M,1992,Summer,Barcelona,Athletics,Thanks,1,2
21,178,72,M,1928,Summer,Amsterdam,Fencing,Thanks,1,4
29,178,72,M,1936,Summer,Berlin,Fencing,Thanks,1,4
41,178,72,M,1948,Summer,London,Fencing,Thanks,1,4
23,178,61,M,2000,Summer,Sydney,Athletics,Thanks,1,2
27,178,61,M,2004,Summer,Athina,Athletics,Thanks,1,2
31,178,61,M,2008,Summer,Beijing,Athletics,Thanks,1,2
35,178,61,M,2012,Summer,London,Athletics,Thanks,1,2
19,169,74,M,2000,Summer,Sydney,Wrestling,Thanks,1,2
23,169,74,M,2004,Summer,Athina,Wrestling,Thanks,1,2
27,169,74,M,2008,Summer,Beijing,Wrestling,Thanks,1,2
17,178,70,M,2008,Summer,Beijing,Swimming,Thanks,1,1
21,173,59,F,1984,Summer,Los Angeles,Swimming,Thanks,1,3
23,175,71,M,1972,Summer,Munich,Football,Thanks,1,1
24,183,75,M,1976,Summer,Montreal,Football,Thanks,1,1
26,176,60,M,2012,Summer,London,Boxing,Thanks,1,1
23,185,67,M,1996,Summer,Atlanta,Athletics,Thanks,1,1
29,175,85,M,2000,Summer,Sydney,Wrestling,Thanks,1,1
31,175,71,M,1984,Summer,Los Angeles,Football,Thanks,1,1
22,165,60,M,2004,Summer,Athina,Modern Pentathlon,Thanks,1,1
19,180,76,M,1988,Summer,Seoul,Modern Pentathlon,Thanks,1,2
23,180,76,M,1992,Summer,Barcelona,Modern Pentathlon,Thanks,1,2
25,176,71,M,1996,Summer,Atlanta,Athletics,Thanks,1,1
27,180,67,F,2016,Summer,Rio de Janeiro,Volleyball,Thanks,1,1
23,188,78,M,1988,Summer,Seoul,Basketball,Thanks,1,1
27,172,63,M,1952,Summer,Helsinki,Boxing,Thanks,1,1
30,165,60,M,2016,Summer,Rio de Janeiro,Boxing,Thanks,1,1
17,147,50,F,2016,Summer,Rio de Janeiro,Athletics,Thanks,1,1
24,184,70,M,1980,Summer,Moskva,Athletics,Thanks,1,1
22,180,73,M,2000,Summer,Sydney,Football,Thanks,1,1
24,163,61,M,1996,Summer,Atlanta,Hockey,Thanks,1,1
28,163,61,M,2000,Summer,Sydney,Hockey,Thanks,1,1
19,160,53,F,2000,Summer,Sydney,Table Tennis,Thanks,1,2
27,160,53,F,2008,Summer,Beijing,Table Tennis,Thanks,1,2
25,173,69,M,1992,Summer,Barcelona,Hockey,Thanks,1,1
23,172,90,M,1996,Summer,Atlanta,Shooting,Thanks,1,1
27,172,90,M,2000,Summer,Sydney,Shooting,Thanks,1,1
19,175,55,M,2000,Summer,Sydney,Swimming,Thanks,1,1
25,176,67,M,1928,Summer,Amsterdam,Athletics,Thanks,1,2
30,180,117,M,1960,Summer,Roma,Weightlifting,Thanks,1,1
34,180,117,M,1964,Summer,Tokyo,Weightlifting,Thanks,1,1
22,169,65,M,1984,Summer,Los Angeles,Football,Thanks,1,1
27,175,71,M,1980,Summer,Moskva,Football,Thanks,1,1
25,168,82,M,1980,Summer,Moskva,Weightlifting,Thanks,1,1
23,169,60,M,1976,Summer,Montreal,Athletics,Thanks,1,2
20,156,59,M,1960,Summer,Roma,Boxing,Thanks,1,1
17,176,68,M,1992,Summer,Barcelona,Athletics,Thanks,1,1
17,168,54,M,1988,Summer,Seoul,Athletics,Thanks,1,1
14,178,70,F,2000,Summer,Sydney,Swimming,Thanks,1,1
26,172,70,M,1984,Summer,Los Angeles,Football,Thanks,1,1
34,178,74,M,1976,Summer,Montreal,Water Polo,Thanks,1,1
30,175,80,M,1984,Summer,Los Angeles,Shooting,Thanks,1,1
33,175,85,M,1984,Summer,Los Angeles,Shooting,Thanks,1,1
29,174,55,M,1972,Summer,Munich,Cycling,Thanks,1,1
24,173,64,M,1968,Summer,Mexico City,Athletics,Thanks,1,1
38,169,91,M,1960,Summer,Roma,Hockey,Gold,1,1
