LR,NSG,NSD,DP,Score
0.01,0.3,0.6,0.01,0.32825714344464296
0.01,0.3,0.6,0.1,0.27677500053750015
0.01,0.3,0.6,0.3,0.22627500051250013
0.01,0.3,0.6,0.6,0.204432143407143
0.01,0.3,0.6,0.8,0.16767500050000012
0.01,0.3,1.0,0.0,0.26928928625178583
0.01,0.3,1.0,0.01,0.26920535769285725
0.01,0.3,1.0,0.1,0.1821107147857144
0.01,0.3,1.0,0.3,0.2046410719410715
0.01,0.3,1.0,0.6,0.3329125005375001
0.01,0.3,1.0,0.8,0.296232143394643
0.01,0.6,0.01,0.0,0.34641428627678583
0.01,0.6,0.01,0.01,0.26635892912142867
0.01,0.6,0.01,0.1,0.24345178626428582
0.01,0.6,0.01,0.3,0.3627053576928573
0.01,0.6,0.01,0.6,0.3974500005500001
0.01,0.6,0.01,0.8,0.321982143407143
0.01,0.6,0.1,0.0,0.256669643382143
0.01,0.6,0.1,0.01,0.305032143382143
0.01,0.6,0.1,0.1,0.2871875005125001
0.01,0.6,0.1,0.3,0.27366071483571436
0.01,0.6,0.1,0.6,0.26525178620178586
0.01,0.6,0.1,0.8,0.26522142908392865
0.01,0.6,0.3,0.0,0.2932071433321429
0.01,0.6,0.3,0.01,0.2189767862517858
0.01,0.6,0.3,0.1,0.2784892862767858
0.01,0.6,0.3,0.3,0.2027785718910715
0.01,0.6,0.3,0.6,0.27678571474821445
0.01,0.6,0.3,0.8,0.22493392900892867
0.01,0.6,0.6,0.0,0.2021625005000001
0.01,0.6,0.6,0.01,0.24312857194107157
0.01,0.6,0.6,0.1,0.18111607186607154
0.01,0.6,0.6,0.3,0.31135178627678584
0.01,0.6,0.6,0.6,0.3079285719035716
0.01,0.6,0.6,0.8,0.30407321483571437
0.01,0.6,1.0,0.0,0.2443642862142858
0.01,0.6,1.0,0.01,0.2525892862142859
0.01,0.6,1.0,0.1,0.31464107195357155
0.01,0.6,1.0,0.3,0.3299910719785716
0.01,0.6,1.0,0.6,0.3547392862392858
0.01,0.6,1.0,0.8,0.3331500005250001
0.01,1.0,0.01,0.0,0.2758285719285715
0.01,1.0,0.01,0.01,0.3206625005000001
0.01,1.0,0.01,0.1,0.33205178627678583
0.01,1.0,0.01,0.3,0.27262857197857154
0.01,1.0,0.01,0.6,0.3557910719910716
0.01,1.0,0.01,0.8,0.324069643432143
0.01,1.0,0.1,0.0,0.2776839291464287
0.01,1.0,0.1,0.01,0.2724785719910715
0.01,1.0,0.1,0.1,0.2599589290964287
0.01,1.0,0.1,0.3,0.3073357148357143
0.01,1.0,0.1,0.6,0.26400535765535726
0.01,1.0,0.1,0.8,0.25597500052500016
0.01,1.0,0.3,0.0,0.24209642903392867
0.01,1.0,0.3,0.01,0.295282143419643
0.01,1.0,0.3,0.1,0.2971196433196429
0.01,1.0,0.3,0.3,0.27070714339464297
0.01,1.0,0.3,0.6,0.24555178622678578
0.01,1.0,0.3,0.8,0.3103535719660715
0.01,1.0,0.6,0.0,0.2305464291214287
0.01,1.0,0.6,0.01,0.3209892862392858
0.01,1.0,0.6,0.1,0.266144643344643
0.01,1.0,0.6,0.3,0.18943571477321441
0.01,1.0,0.6,0.6,0.264432143357143
0.01,1.0,0.6,0.8,0.19725535770535726
0.01,1.0,1.0,0.0,0.20382500055000013
0.01,1.0,1.0,0.01,0.25334285769285725
0.01,1.0,1.0,0.1,0.14321964333214293
0.01,1.0,1.0,0.3,0.25034285768035724
0.01,1.0,1.0,0.6,0.23935357197857154
0.01,1.0,1.0,0.8,0.2717428576428572
0.001,0.01,0.01,0.0,0.4320982144607143
0.001,0.01,0.01,0.01,0.43373571463571436
0.001,0.01,0.01,0.1,0.41602857171607144
0.001,0.01,0.01,0.3,0.5062017860392858
0.001,0.01,0.01,0.6,0.5196625003625001
0.001,0.01,0.01,0.8,0.5215267860767858
0.001,0.01,0.1,0.0,0.41911607162857145
0.001,0.01,0.1,0.01,0.4212303574178572
0.001,0.01,0.1,0.1,0.41406607161607145
0.001,0.01,0.1,0.3,0.41008392883392863
0.001,0.01,0.1,0.6,0.4070160717410716
0.001,0.01,0.1,0.8,0.40740000020000006
0.001,0.01,0.3,0.0,0.41191785734285724
0.001,0.01,0.3,0.01,0.387732143044643
0.001,0.01,0.3,0.1,0.36753928585178575
0.001,0.01,0.3,0.3,0.36252142868392856
0.001,0.01,0.3,0.6,0.38050178588928574
0.001,0.01,0.3,0.8,0.35427500016250013
0.001,0.01,0.6,0.0,0.22642142887142863
0.001,0.01,0.6,0.01,0.24895000023750008
0.001,0.01,0.6,0.1,0.383019643107143
0.001,0.01,0.6,0.3,0.3580535719160715
0.001,0.01,0.6,0.6,0.2085375005125001
0.001,0.01,0.6,0.8,0.26012142894642865
0.001,0.01,1.0,0.0,0.3188107144857143
0.001,0.01,1.0,0.01,0.31708750020000004
0.001,0.01,1.0,0.1,0.2941089288589287
0.001,0.01,1.0,0.3,0.3190642858892858
0.001,0.01,1.0,0.6,0.2901571430696429
0.001,0.01,1.0,0.8,0.3703482145357143
0.001,0.1,0.01,0.0,0.4128000003500001
0.001,0.1,0.01,0.01,0.40407857180357154
0.001,0.1,0.01,0.1,0.32527142897142863
0.001,0.1,0.01,0.3,0.43816250032500004
0.001,0.1,0.01,0.6,0.5098892861392859
0.001,0.1,0.01,0.8,0.5531125005000002
0.001,0.1,0.1,0.0,0.4348392860267858
0.001,0.1,0.1,0.01,0.41281785730535725
0.001,0.1,0.1,0.1,0.47249464310714284
0.001,0.1,0.1,0.3,0.40491785738035724
0.001,0.1,0.1,0.6,0.48088214315714284
0.001,0.1,0.1,0.8,0.5492839289089286
0.001,0.1,0.3,0.0,0.3629071429321429
0.001,0.1,0.3,0.01,0.3603428573303572
0.001,0.1,0.3,0.1,0.35980714301964295
0.001,0.1,0.3,0.3,0.40706607157857155
0.001,0.1,0.3,0.6,0.34650535720535725
0.001,0.1,0.3,0.8,0.4167446431696429
0.001,0.1,0.6,0.0,0.3431767862392859
0.001,0.1,0.6,0.01,0.32278392875892864
0.001,0.1,0.6,0.1,0.32880000050000013
0.001,0.1,0.6,0.3,0.2992035718785715
0.001,0.1,0.6,0.6,0.3215732145732144
0.001,0.1,0.6,0.8,0.24096607174107154
0.001,0.1,1.0,0.0,0.3404892859017858
0.001,0.1,1.0,0.01,0.33893214310714287
0.001,0.1,1.0,0.1,0.3918696430571429
0.001,0.1,1.0,0.3,0.3646750002125
0.001,0.1,1.0,0.6,0.34864821448571426
0.001,0.1,1.0,0.8,0.1897642861267858
0.001,0.3,0.01,0.0,0.40286785741785724
0.001,0.3,0.01,0.01,0.35342142874642857
0.001,0.3,0.01,0.1,0.40429821457321435
0.001,0.3,0.01,0.3,0.41260357184107144
0.001,0.3,0.01,0.6,0.42862500026250006
0.001,0.3,0.01,0.8,0.48121428616428585
0.001,0.3,0.1,0.0,0.4443375003375001
0.001,0.3,0.1,0.01,0.4095160716660715
0.001,0.3,0.1,0.1,0.4339928574803572
0.001,0.3,0.1,0.3,0.3979035716535715
0.001,0.3,0.1,0.6,0.4190875003375001
0.001,0.3,0.1,0.8,0.49246785755535727
0.001,0.3,0.3,0.0,0.31791785723035715
0.001,0.3,0.3,0.01,0.33108928578928576
0.001,0.3,0.3,0.1,0.38036428597678584
0.001,0.3,0.3,0.3,0.37721428591428574
0.001,0.3,0.3,0.6,0.3319928573053572
0.001,0.3,0.3,0.8,0.4270642859767858
0.001,0.3,0.6,0.0,0.29985892900892863
0.001,0.3,0.6,0.01,0.2771160718410715
0.001,0.3,0.6,0.1,0.198912500175
0.001,0.3,0.6,0.3,0.34262142915892874
0.001,0.3,0.6,0.6,0.2951357145482144
0.001,0.3,0.6,0.8,0.5073232148732143
0.001,0.3,1.0,0.0,0.2193732146107143
0.001,0.3,1.0,0.01,0.2247946432196429
0.001,0.3,1.0,0.1,0.41487678613928575
0.001,0.3,1.0,0.3,0.3515946432071429
0.001,0.3,1.0,0.6,0.2621303575553572
0.001,0.3,1.0,0.8,0.24478392908392865
0.001,0.6,0.01,0.0,0.3928928574178573
0.001,0.6,0.01,0.01,0.3035875002125001
0.001,0.6,0.01,0.1,0.35839285740535726
0.001,0.6,0.01,0.3,0.4474946431571429
0.001,0.6,0.01,0.6,0.4379410717660715
0.001,0.6,0.01,0.8,0.4504339288839287
0.001,0.6,0.1,0.0,0.3964035716410715
0.001,0.6,0.1,0.01,0.43986250028750007
0.001,0.6,0.1,0.1,0.4463464288839286
0.001,0.6,0.1,0.3,0.4806750002875001
0.001,0.6,0.1,0.6,0.46815357182857154
0.001,0.6,0.1,0.8,0.44498571466071435
0.001,0.6,0.3,0.0,0.39483750027500003
0.001,0.6,0.3,0.01,0.47055535753035715
0.001,0.6,0.3,0.1,0.3523089287839286
0.001,0.6,0.3,0.3,0.41290178602678584
0.001,0.6,0.3,0.6,0.3613214287714287
0.001,0.6,0.3,0.8,0.46725892884642867
0.001,0.6,0.6,0.0,0.49037321487321434
0.001,0.6,0.6,0.01,0.3687928577303572
0.001,0.6,0.6,0.1,0.31042321479821444
0.001,0.6,0.6,0.3,0.1894910717035715
0.001,0.6,0.6,0.6,0.26975714318214294
0.001,0.6,0.6,0.8,0.37715892892142866
0.001,0.6,1.0,0.0,0.2716035717660715
0.001,0.6,1.0,0.01,0.35249464316964296
0.001,0.6,1.0,0.1,0.1777482146482144
0.001,0.6,1.0,0.3,0.2706589288839286
0.001,0.6,1.0,0.6,0.07046428592678577
0.001,0.6,1.0,0.8,0.4020857148607144
0.001,1.0,0.01,0.0,0.44614107170357153
0.001,1.0,0.01,0.01,0.3587589287964287
0.001,1.0,0.01,0.1,0.4497892860267858
0.001,1.0,0.01,0.3,0.4022785717785715
0.001,1.0,0.01,0.6,0.47598214320714294
0.001,1.0,0.01,0.8,0.3915892860892858
0.001,1.0,0.1,0.0,0.30331607176607156
0.001,1.0,0.1,0.01,0.36454464319464297
0.001,1.0,0.1,0.1,0.36752321452321435
0.001,1.0,0.1,0.3,0.3897517859017858
0.001,1.0,0.1,0.6,0.4976928575053573
0.001,1.0,0.1,0.8,0.44070357172857144
0.001,1.0,0.3,0.0,0.3781767859267858
0.001,1.0,0.3,0.01,0.3633107144857144
0.001,1.0,0.3,0.1,0.3579017858642857
0.001,1.0,0.3,0.3,0.3275839287714286
0.001,1.0,0.3,0.6,0.34219107167857155
0.001,1.0,0.3,0.8,0.3881767859892858
0.001,1.0,0.6,0.0,0.3086946430571429
0.001,1.0,0.6,0.01,0.44104107191607156
0.001,1.0,0.6,0.1,0.4261589290964287
0.001,1.0,0.6,0.3,0.3950160717910715
0.001,1.0,0.6,0.6,0.4679125005125001
0.001,1.0,0.6,0.8,0.3866428576303573
0.001,1.0,1.0,0.0,0.29769285765535725
0.001,1.0,1.0,0.01,0.4222714291589287
0.001,1.0,1.0,0.1,0.31320535764285723
0.001,1.0,1.0,0.3,0.30978392913392866
0.001,1.0,1.0,0.6,0.28600535749285727
0.001,1.0,1.0,0.8,0.3838446434071429
0.0001,0.01,0.01,0.0,0.5233089288089287
0.0001,0.01,0.01,0.01,0.5093857146357144
0.0001,0.01,0.01,0.1,0.526907143132143
0.0001,0.01,0.01,0.3,0.5440553575178573
0.0001,0.01,0.01,0.6,0.4949785718160715
0.0001,0.01,0.01,0.8,0.47213035739285714
0.0001,0.01,0.1,0.0,0.5117589288589286
0.0001,0.01,0.1,0.01,0.5071517859267858
0.0001,0.01,0.1,0.1,0.5405232146107144
0.0001,0.01,0.1,0.3,0.49017500037500006
0.0001,0.01,0.1,0.6,0.43607321453571435
0.0001,0.01,0.1,0.8,0.42620535748035726
0.0001,0.01,0.3,0.0,0.4359821431446429
0.0001,0.01,0.3,0.01,0.4443357145482144
0.0001,0.01,0.3,0.1,0.4468482146232144
0.0001,0.01,0.3,0.3,0.38967321456071435
0.0001,0.01,0.3,0.6,0.42813214314464293
0.0001,0.01,0.3,0.8,0.3785125002500001
0.0001,0.01,0.6,0.0,0.3776625002625001
0.0001,0.01,0.6,0.01,0.3915160716660715
0.0001,0.01,0.6,0.1,0.3803017859892858
0.0001,0.01,0.6,0.3,0.34023214308214295
0.0001,0.01,0.6,0.6,0.3996267859892858
0.0001,0.01,0.6,0.8,0.36129285738035727
0.0001,0.01,1.0,0.0,0.2921160716285714
0.0001,0.01,1.0,0.01,0.1321571430446429
0.0001,0.01,1.0,0.1,0.17668571443571435
0.0001,0.01,1.0,0.3,0.25785000017500004
0.0001,0.01,1.0,0.6,0.23102500025000006
0.0001,0.01,1.0,0.8,0.18788571451071437
0.0001,0.1,0.01,0.0,0.5576767860267857
0.0001,0.1,0.01,0.01,0.5769214289339286
0.0001,0.1,0.01,0.1,0.5592035717910715
0.0001,0.1,0.01,0.3,0.5645910717785714
0.0001,0.1,0.01,0.6,0.5618767861392857
0.0001,0.1,0.01,0.8,0.5339214290089287
0.0001,0.1,0.1,0.0,0.5207642861017858
0.0001,0.1,0.1,0.01,0.5629196432196429
0.0001,0.1,0.1,0.1,0.5010875003875
0.0001,0.1,0.1,0.3,0.5517553574178572
0.0001,0.1,0.1,0.6,0.5206642861142858
0.0001,0.1,0.1,0.8,0.5488125004000001
0.0001,0.1,0.3,0.0,0.4552607146482144
0.0001,0.1,0.3,0.01,0.4940357146357144
0.0001,0.1,0.3,0.1,0.5087214289089287
0.0001,0.1,0.3,0.3,0.42961964321964297
0.0001,0.1,0.3,0.6,0.44933928602678574
0.0001,0.1,0.3,0.8,0.45101428607678573
0.0001,0.1,0.6,0.0,0.4183714287964287
0.0001,0.1,0.6,0.01,0.3892232146107144
0.0001,0.1,0.6,0.1,0.39628214308214293
0.0001,0.1,0.6,0.3,0.40402857167857154
0.0001,0.1,0.6,0.6,0.3917303574178572
0.0001,0.1,0.6,0.8,0.404407143182143
0.0001,0.1,1.0,0.0,0.1736071430196429
0.0001,0.1,1.0,0.01,0.3192571430946429
0.0001,0.1,1.0,0.1,0.1545714286839286
0.0001,0.1,1.0,0.3,0.2987500002000001
0.0001,0.1,1.0,0.6,0.2859017859142858
0.0001,0.1,1.0,0.8,0.19672500015000005
0.0001,0.3,0.01,0.0,0.5577785718660715
0.0001,0.3,0.01,0.01,0.5954107146982144
0.0001,0.3,0.01,0.1,0.5857089290089286
0.0001,0.3,0.01,0.3,0.5874196432821429
0.0001,0.3,0.01,0.6,0.5674750004375001
0.0001,0.3,0.01,0.8,0.5944089290839286
0.0001,0.3,0.1,0.0,0.5723107147982144
0.0001,0.3,0.1,0.01,0.573969643232143
0.0001,0.3,0.1,0.1,0.5815696433071429
0.0001,0.3,0.1,0.3,0.6113321432196428
0.0001,0.3,0.1,0.6,0.5511178575553572
0.0001,0.3,0.1,0.8,0.5635464290589287
0.0001,0.3,0.3,0.0,0.5489517861517859
0.0001,0.3,0.3,0.01,0.5374732147107144
0.0001,0.3,0.3,0.1,0.5526767862017858
0.0001,0.3,0.3,0.3,0.5278767861767859
0.0001,0.3,0.3,0.6,0.5184892862142858
0.0001,0.3,0.3,0.8,0.5315089290464287
0.0001,0.3,0.6,0.0,0.4209500005000001
0.0001,0.3,0.6,0.01,0.4460428575678573
0.0001,0.3,0.6,0.1,0.4451000005250001
0.0001,0.3,0.6,0.3,0.47810714334464294
0.0001,0.3,0.6,0.6,0.4700571433196429
0.0001,0.3,0.6,0.8,0.4825000004375001
0.0001,0.3,1.0,0.0,0.21828750026250004
0.0001,0.3,1.0,0.01,0.2871696430946429
0.0001,0.3,1.0,0.1,0.29677142884642865
0.0001,0.3,1.0,0.3,0.2754375002375
0.0001,0.3,1.0,0.6,0.38756428600178583
0.0001,0.3,1.0,0.8,0.37177321458571433
0.0001,0.6,0.01,0.0,0.6141053576928573
0.0001,0.6,0.01,0.01,0.6025125005000002
0.0001,0.6,0.01,0.1,0.6066910719035714
0.0001,0.6,0.01,0.3,0.6277625005125
0.0001,0.6,0.01,0.6,0.6275160719285715
0.0001,0.6,0.01,0.8,0.5843464291214286
0.0001,0.6,0.1,0.0,0.6176178576553573
0.0001,0.6,0.1,0.01,0.6094410718785715
0.0001,0.6,0.1,0.1,0.6146500005625002
0.0001,0.6,0.1,0.3,0.5919750004875001
0.0001,0.6,0.1,0.6,0.6192964291089287
0.0001,0.6,0.1,0.8,0.5957214291089286
0.0001,0.6,0.3,0.0,0.6038339290589286
0.0001,0.6,0.3,0.01,0.6024625005250002
0.0001,0.6,0.3,0.1,0.5883625005249999
0.0001,0.6,0.3,0.3,0.5979875005250002
0.0001,0.6,0.3,0.6,0.6017392862142859
0.0001,0.6,0.3,0.8,0.617057143369643
0.0001,0.6,0.6,0.0,0.5189142862392858
0.0001,0.6,0.6,0.01,0.5094303576678572
0.0001,0.6,0.6,0.1,0.515607143382143
0.0001,0.6,0.6,0.3,0.4993303576803572
0.0001,0.6,0.6,0.6,0.5269982148232144
0.0001,0.6,0.6,0.8,0.5437642862392857
0.0001,0.6,1.0,0.0,0.3432053575678572
0.0001,0.6,1.0,0.01,0.4053035718535715
0.0001,0.6,1.0,0.1,0.34874642902142866
0.0001,0.6,1.0,0.3,0.4475232147107143
0.0001,0.6,1.0,0.6,0.43448928618928584
0.0001,0.6,1.0,0.8,0.4675000005375
0.0001,1.0,0.01,0.0,0.6097964291089286
0.0001,1.0,0.01,0.01,0.6385089290964285
0.0001,1.0,0.01,0.1,0.600107143394643
0.0001,1.0,0.01,0.3,0.6383750005500002
0.0001,1.0,0.01,0.6,0.635919643407143
0.0001,1.0,0.01,0.8,0.5987053577178574
0.0001,1.0,0.1,0.0,0.6366267862767858
0.0001,1.0,0.1,0.01,0.6432803577053572
0.0001,1.0,0.1,0.1,0.6250339291214287
0.0001,1.0,0.1,0.3,0.611069643382143
0.0001,1.0,0.1,0.6,0.6295375005500001
0.0001,1.0,0.1,0.8,0.6257232148732144
0.0001,1.0,0.3,0.0,0.6475053577053571
0.0001,1.0,0.3,0.01,0.615369643407143
0.0001,1.0,0.3,0.1,0.6223928576803572
0.0001,1.0,0.3,0.3,0.6153678576928573
0.0001,1.0,0.3,0.6,0.6056285719660716
0.0001,1.0,0.3,0.8,0.6059535719660715
0.0001,1.0,0.6,0.0,0.5836517862767857
0.0001,1.0,0.6,0.01,0.5632375005375001
0.0001,1.0,0.6,0.1,0.5685392862517857
0.0001,1.0,0.6,0.3,0.5807928577053572
0.0001,1.0,0.6,0.6,0.5636517862517858
0.0001,1.0,0.6,0.8,0.5760982148607143
0.0001,1.0,1.0,0.0,0.4324071434446429
0.0001,1.0,1.0,0.01,0.4299053577053573
0.0001,1.0,1.0,0.1,0.46392678628928585
0.0001,1.0,1.0,0.3,0.5011589291214287
0.0001,1.0,1.0,0.6,0.5110946434446431
0.0001,1.0,1.0,0.8,0.5179964291589287
1e-05,0.01,0.01,0.0,0.5104017862267858
1e-05,0.01,0.01,0.01,0.42978035766785727
1e-05,0.01,0.01,0.1,0.4794750005250001
1e-05,0.01,0.01,0.3,0.48777857197857144
1e-05,0.01,0.01,0.6,0.41113928625178586
1e-05,0.01,0.01,0.8,0.4451089290464286
1e-05,0.01,0.1,0.0,0.49392142912142867
1e-05,0.01,0.1,0.01,0.5032000005625001
1e-05,0.01,0.1,0.1,0.5134982148732143
1e-05,0.01,0.1,0.3,0.48564642912142864
1e-05,0.01,0.1,0.6,0.5141410719785715
1e-05,0.01,0.1,0.8,0.4839464291214287
1e-05,0.01,0.3,0.0,0.4552232148482145
1e-05,0.01,0.3,0.01,0.4543250004750001
1e-05,0.01,0.3,0.1,0.47812321483571435
1e-05,0.01,0.3,0.3,0.46362142905892867
1e-05,0.01,0.3,0.6,0.4524750005625001
1e-05,0.01,0.3,0.8,0.4599910719410716
1e-05,0.01,0.6,0.0,0.4271767862142858
1e-05,0.01,0.6,0.01,0.4677857147732144
1e-05,0.01,0.6,0.1,0.48250892908392873
1e-05,0.01,0.6,0.3,0.4535607148357145
1e-05,0.01,0.6,0.6,0.4395750005375001
1e-05,0.01,0.6,0.8,0.48053214340714295
1e-05,0.01,1.0,0.0,0.4920000005250001
1e-05,0.01,1.0,0.01,0.45949642912142874
1e-05,0.01,1.0,0.1,0.47505892912142866
1e-05,0.01,1.0,0.3,0.47243392904642867
1e-05,0.01,1.0,0.6,0.4513803577053572
1e-05,0.01,1.0,0.8,0.4567178577178572
1e-05,0.1,0.01,0.0,0.5197142862267858
1e-05,0.1,0.01,0.01,0.5163410720035715
1e-05,0.1,0.01,0.1,0.5032803576928573
1e-05,0.1,0.01,0.3,0.49442321484821444
1e-05,0.1,0.01,0.6,0.4417214291214287
1e-05,0.1,0.01,0.8,0.47592678627678575
1e-05,0.1,0.1,0.0,0.4805642863017858
1e-05,0.1,0.1,0.01,0.5168785719910716
1e-05,0.1,0.1,0.1,0.5312178577053572
1e-05,0.1,0.1,0.3,0.49591785770535723
1e-05,0.1,0.1,0.6,0.4703642862767858
1e-05,0.1,0.1,0.8,0.46002857197857155
1e-05,0.1,0.3,0.0,0.48118571481071437
1e-05,0.1,0.3,0.01,0.4958857148357144
1e-05,0.1,0.3,0.1,0.5306214291464286
1e-05,0.1,0.3,0.3,0.5080035719910715
1e-05,0.1,0.3,0.6,0.5096196433946429
1e-05,0.1,0.3,0.8,0.45727142908392865
1e-05,0.1,0.6,0.0,0.4992357148607144
1e-05,0.1,0.6,0.01,0.4717857148482144
1e-05,0.1,0.6,0.1,0.5053178577178572
1e-05,0.1,0.6,0.3,0.47872500055
1e-05,0.1,0.6,0.6,0.44751250050000013
1e-05,0.1,0.6,0.8,0.4753875005375001
1e-05,0.1,1.0,0.0,0.5152803577053573
1e-05,0.1,1.0,0.01,0.49190178628928577
1e-05,0.1,1.0,0.1,0.5108928577178572
1e-05,0.1,1.0,0.3,0.4566982148107144
1e-05,0.1,1.0,0.6,0.507032143382143
1e-05,0.1,1.0,0.8,0.5038428577303573
1e-05,0.3,0.01,0.0,0.5414678577303571
1e-05,0.3,0.01,0.01,0.5666928577303574
1e-05,0.3,0.01,0.1,0.5537089291464288
1e-05,0.3,0.01,0.3,0.572857143444643
1e-05,0.3,0.01,0.6,0.5107750005625
1e-05,0.3,0.01,0.8,0.5082946434446429
1e-05,0.3,0.1,0.0,0.5970607148482143
1e-05,0.3,0.1,0.01,0.5573767863017859
1e-05,0.3,0.1,0.1,0.5425946434321429
1e-05,0.3,0.1,0.3,0.5249714291589287
1e-05,0.3,0.1,0.6,0.5240178577303573
1e-05,0.3,0.1,0.8,0.5298589291589286
1e-05,0.3,0.3,0.0,0.5668178577303572
1e-05,0.3,0.3,0.01,0.5606946434446429
1e-05,0.3,0.3,0.1,0.5513017863017858
1e-05,0.3,0.3,0.3,0.5797964291464286
1e-05,0.3,0.3,0.6,0.504100000575
1e-05,0.3,0.3,0.8,0.4991857148732144
1e-05,0.3,0.6,0.0,0.5038803577053572
1e-05,0.3,0.6,0.01,0.5122410720160715
1e-05,0.3,0.6,0.1,0.525844643444643
1e-05,0.3,0.6,0.3,0.5354089291589287
1e-05,0.3,0.6,0.6,0.5388535720160715
1e-05,0.3,0.6,0.8,0.49933214344464294
1e-05,0.3,1.0,0.0,0.5119928577303572
1e-05,0.3,1.0,0.01,0.5021857148732144
1e-05,0.3,1.0,0.1,0.5133428577303571
1e-05,0.3,1.0,0.3,0.5365553577303572
1e-05,0.3,1.0,0.6,0.5178303577303573
1e-05,0.3,1.0,0.8,0.5120142862767858
1e-05,0.6,0.01,0.0,0.5921428577303572
1e-05,0.6,0.01,0.01,0.5892553577303572
1e-05,0.6,0.01,0.1,0.5973946434446431
1e-05,0.6,0.01,0.3,0.5805821434446428
1e-05,0.6,0.01,0.6,0.575507143444643
1e-05,0.6,0.01,0.8,0.554944643444643
1e-05,0.6,0.1,0.0,0.6100875005875
1e-05,0.6,0.1,0.01,0.5860803577303573
1e-05,0.6,0.1,0.1,0.5954589291589287
1e-05,0.6,0.1,0.3,0.5868750005875001
